# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
0.000000000000000000e+00 -8.597194388777554819e-01 4.440892098500626162e-16 2.618404208572482688e-05 5.236808417144965376e-05 5.117034501127075939e-03 1.023406900225415188e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961579515320991382e-02 5.923159030641982764e-02 1.720924029503043406e-01 3.441848059006086813e-01
3.103745175436515430e-02 -8.456913827655310190e-01 4.440892098500626162e-16 2.611506274330551220e-05 5.223012548661102439e-05 5.110289888382606692e-03 1.022057977676521338e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961572617386749526e-02 5.923145234773499052e-02 1.720922025365109187e-01 3.441844050730218374e-01
0.000000000000000000e+00 -8.316633266533066671e-01 4.440892098500626162e-16 2.604608340088620090e-05 5.209216680177240180e-05 5.103536362257665368e-03 1.020707272451533074e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961565719452507323e-02 5.923131438905014645e-02 1.720920021224841001e-01 3.441840042449682002e-01
2.033813164703544452e+00 -8.176352705410820931e-01 4.440892098500626162e-16 2.597710405846687944e-05 5.195420811693375889e-05 5.096773887319985472e-03 1.019354777463997094e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961558821518265466e-02 5.923117643036530933e-02 1.720918017082239126e-01 3.441836034164478253e-01
0.000000000000000000e+00 -8.036072144288577412e-01 4.440892098500626162e-16 2.590812471604756815e-05 5.181624943209513630e-05 5.090002427901932358e-03 1.018000485580386472e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961551923584023610e-02 5.923103847168047220e-02 1.720916012937303008e-01 3.441832025874606016e-01
6.783836732874515274e-01 -7.895791583166332783e-01 4.440892098500626162e-16 2.583914537362825347e-05 5.167829074725650693e-05 5.083221948098297534e-03 1.016644389619659507e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961545025649781754e-02 5.923090051299563508e-02 1.720914008790032923e-01 3.441828017580065846e-01
0.000000000000000000e+00 -7.755511022044088154e-01 4.440892098500626162e-16 2.577016603120894217e-05 5.154033206241788435e-05 5.076432411764086883e-03 1.015286482352817377e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961538127715539551e-02 5.923076255431079101e-02 1.720912004640428872e-01 3.441824009280857743e-01
1.929794001652468172e+00 -7.615230460921843525e-01 4.440892098500626162e-16 2.570118668878963088e-05 5.140237337757926176e-05 5.069633782512266394e-03 1.013926756502453279e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961531229781297694e-02 5.923062459562595389e-02 1.720910000488490854e-01 3.441820000976981708e-01
0.000000000000000000e+00 -7.474949899799598896e-01 4.440892098500626162e-16 2.563220734637032297e-05 5.126441469274064594e-05 5.062826023711492276e-03 1.012565204742298455e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961524331847055838e-02 5.923048663694111676e-02 1.720907996334218870e-01 3.441815992668437740e-01
0.000000000000000000e+00 -7.334669338677355377e-01 4.440892098500626162e-16 2.556322800395101168e-05 5.112645600790202336e-05 5.056009098483804642e-03 1.011201819696760928e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961517433912813982e-02 5.923034867825627964e-02 1.720905992177612920e-01 3.441811984355225840e-01
2.397178208323287762e+00 -7.194388777555109638e-01 4.440892098500626162e-16 2.549424866153169700e-05 5.098849732306339399e-05 5.049182969702296041e-03 1.009836593940459208e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961510535978572126e-02 5.923021071957144251e-02 1.720903988018672726e-01 3.441807976037345451e-01
0.000000000000000000e+00 -7.054108216432866119e-01 4.440892098500626162e-16 2.542526931911237215e-05 5.085053863822474430e-05 5.042347599988756569e-03 1.008469519997751314e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961503638044329922e-02 5.923007276088659845e-02 1.720901983857398565e-01 3.441803967714797130e-01
1.589805006157847256e+00 -6.913827655310621489e-01 4.440892098500626162e-16 2.535628997669306424e-05 5.071257995338612849e-05 5.035502951711285161e-03 1.007100590342257032e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961496740110088066e-02 5.922993480220176132e-02 1.720899979693790438e-01 3.441799959387580876e-01
0.000000000000000000e+00 -6.773547094188376860e-01 4.440892098500626162e-16 2.528731063427374956e-05 5.057462126854749912e-05 5.028648986981866173e-03 1.005729797396373235e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961489842175846210e-02 5.922979684351692420e-02 1.720897975527848067e-01 3.441795951055696134e-01
0.000000000000000000e+00 -6.633266533066132231e-01 4.440892098500626162e-16 2.521833129185443827e-05 5.043666258370887653e-05 5.021785667653931237e-03 1.004357133530786247e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961482944241604354e-02 5.922965888483208707e-02 1.720895971359571730e-01 3.441791942719143460e-01
1.736233074094597706e+00 -6.492985971943887602e-01 4.440892098500626162e-16 2.514935194943513036e-05 5.029870389887026072e-05 5.014912955319875999e-03 1.002982591063975200e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961476046307362150e-02 5.922952092614724301e-02 1.720893967188961426e-01 3.441787934377922853e-01
