# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
2.165264711615580318e+00 -1.000000000000000000e+00 2.109436684369589976e+00 1.727697080492941739e-02 3.455394160985883478e-02 1.314418913624169349e-01 2.628837827248338699e-01 2.953600653629578354e-01 5.907201307259156708e-01 5.434703905117166389e-01 1.086940781023433278e+00 3.126370361678872389e-01 6.252740723357744779e-01 5.591395498155065091e-01 1.118279099631013018e+00
2.182537110691847193e+00 -9.859719438877755371e-01 2.115722502490687607e+00 1.722106466003325148e-02 3.444212932006650296e-02 1.312290541764027652e-01 2.624581083528055303e-01 2.871511235172826138e-01 5.743022470345652275e-01 5.358648369853004079e-01 1.071729673970600816e+00 3.043721881773158722e-01 6.087443763546317443e-01 5.516993639449984110e-01 1.103398727889996822e+00
2.241133440753575456e+00 -9.719438877755510742e-01 2.122012937798087862e+00 1.716512154950453756e-02 3.433024309900907511e-02 1.310157301605594793e-01 2.620314603211189586e-01 2.798239532791643724e-01 5.596479065583287449e-01 5.289838875421106756e-01 1.057967775084221351e+00 2.969890748286689308e-01 5.939781496573378616e-01 5.449670401305650724e-01 1.089934080261130145e+00
2.228375747721768718e+00 -9.579158316633266113e-01 2.128307946591222244e+00 1.710914189729303633e-02 3.421828379458607267e-02 1.308019185535634066e-01 2.616038371071268132e-01 2.719695424434066533e-01 5.439390848868133066e-01 5.215069917493021512e-01 1.043013983498604302e+00 2.890786843406996653e-01 5.781573686813993307e-01 5.376603801106230041e-01 1.075320760221246008e+00
1.815518091282076085e+00 -9.438877755511021483e-01 2.134607485099577318e+00 1.705312612755325447e-02 3.410625225510650893e-02 1.305876185844326298e-01 2.611752371688652596e-01 2.652003958169789621e-01 5.304007916339579243e-01 5.149761118896477585e-01 1.029952223779295517e+00 2.822535219445322374e-01 5.645070438890644748e-01 5.312753729889352350e-01 1.062550745977870470e+00
1.998407045286017869e+00 -9.298597194388777964e-01 2.140911509483302222e+00 1.699707466464041999e-02 3.399414932928083999e-02 1.303728294724035564e-01 2.607456589448071127e-01 2.576904705255479988e-01 5.153809410510959976e-01 5.076322197472772357e-01 1.015264439494554471e+00 2.746875451901883980e-01 5.493750903803767960e-01 5.241064254425702451e-01 1.048212850885140490e+00
2.015736320497211409e+00 -9.158316633266533335e-01 2.147219975833644323e+00 1.694098793310267262e-02 3.388197586620534524e-02 1.301575504267911132e-01 2.603151008535822264e-01 2.502716153628642970e-01 5.005432307257285940e-01 5.002715416280085758e-01 1.000543083256017152e+00 2.672126032959669661e-01 5.344252065919339323e-01 5.169261100930837571e-01 1.033852220186167514e+00
1.742631670057708027e+00 -9.018036072144288706e-01 2.153532840173463470e+00 1.688486635767680669e-02 3.376973271535361337e-02 1.299417806468604886e-01 2.598835612937209771e-01 2.439462927969780481e-01 4.878925855939560963e-01 4.939091948900911633e-01 9.878183897801823266e-01 2.608311591546548791e-01 5.216623183093097582e-01 5.107163196478597955e-01 1.021432639295719591e+00
2.169877390233452719e+00 -8.877755511022044077e-01 2.159850058457811972e+00 1.682871036328439582e-02 3.365742072656879164e-02 1.297255193216985958e-01 2.594510386433971916e-01 2.374805047923899126e-01 4.749610095847798252e-01 4.873197151689944717e-01 9.746394303379889434e-01 2.543092151556742841e-01 5.086184303113485683e-01 5.042908041553745280e-01 1.008581608310749056e+00
1.883510082516624884e+00 -8.737474949899799448e-01 2.166171586574355157e+00 1.677252037502318521e-02 3.354504075004637043e-02 1.295087656300653034e-01 2.590175312601306068e-01 2.311367973782905982e-01 4.622735947565811965e-01 4.807668846523131534e-01 9.615337693046263068e-01 2.479093177533137904e-01 4.958186355066275808e-01 4.979049284284237653e-01 9.958098568568475306e-01
