# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
0.000000000000000000e+00 -1.000000000000000000e+00 3.641165025622226104e-01 1.206529077989100356e-02 2.413058155978200711e-02 1.098421175136887196e-01 2.196842350273774391e-01 5.239215847823932570e-01 1.047843169564786514e+00 7.238242775580225885e-01 1.447648555116045177e+00 5.359868755622843040e-01 1.071973751124568608e+00 7.321112453461456893e-01 1.464222490692291379e+00
0.000000000000000000e+00 -9.859719438877755371e-01 3.688029425845045228e-01 1.201168610940907960e-02 2.402337221881815921e-02 1.095978380690471460e-01 2.191956761380942920e-01 5.227301772852189776e-01 1.045460354570437955e+00 7.230008141663596399e-01 1.446001628332719280e+00 5.347418633946280364e-01 1.069483726789256073e+00 7.312604620753320184e-01 1.462520924150664037e+00
0.000000000000000000e+00 -9.719438877755510742e-01 3.734976007384076535e-01 1.195813751394496187e-02 2.391627502788992374e-02 1.093532693335913103e-01 2.187065386671826206e-01 5.209738281144060679e-01 1.041947656228812136e+00 7.217851675633173425e-01 1.443570335126634685e+00 5.329319656283509898e-01 1.065863931256701980e+00 7.300218939376756921e-01 1.460043787875351384e+00
0.000000000000000000e+00 -9.579158316633266113e-01 3.782004449992431017e-01 1.190464550744760840e-02 2.380929101489521679e-02 1.091084117171889217e-01 2.182168234343778435e-01 5.204413207618511228e-01 1.040882641523702246e+00 7.214161910865676264e-01 1.442832382173135253e+00 5.323459662692987537e-01 1.064691932538597507e+00 7.296204261595879981e-01 1.459240852319175996e+00
9.830895332428560840e-01 -9.438877755511021483e-01 3.829114432508580190e-01 1.185121060289325186e-02 2.370242120578650372e-02 1.088632656266256410e-01 2.177265312532512820e-01 5.187455566336472979e-01 1.037491113267294596e+00 7.202399299078379169e-01 1.440479859815675834e+00 5.305967672365405896e-01 1.061193534473081179e+00 7.284207350402243097e-01 1.456841470080448619e+00
2.203747184671945192e+00 -9.298597194388777964e-01 3.876305632859913253e-01 1.179783331227793851e-02 2.359566662455587702e-02 1.086178314655468491e-01 2.172356629310936982e-01 5.188574307086585291e-01 1.037714861417317058e+00 7.203175901702376649e-01 1.440635180340475330e+00 5.306552640209364347e-01 1.061310528041872869e+00 7.284608870906772449e-01 1.456921774181354490e+00
2.116520019320253798e+00 -9.158316633266533335e-01 3.923577728066292014e-01 1.174451414661160237e-02 2.348902829322320474e-02 1.083721096344054807e-01 2.167442192688109615e-01 5.171546263330484283e-01 1.034309252666096857e+00 7.191346371390050507e-01 1.438269274278010101e+00 5.288991404796600238e-01 1.057798280959320048e+00 7.272545224882827064e-01 1.454509044976565413e+00
0.000000000000000000e+00 -9.018036072144288706e-01 3.970930394243614714e-01 1.169125361590936558e-02 2.338250723181873117e-02 1.081261005303962991e-01 2.162522010607925982e-01 5.157106957440384942e-01 1.031421391488076988e+00 7.181299991951586303e-01 1.436259998390317261e+00 5.274019493599478858e-01 1.054803898719895772e+00 7.262244483353255120e-01 1.452448896670651024e+00
0.000000000000000000e+00 -8.877755511022044077e-01 4.018363306607655172e-01 1.163805222918497077e-02 2.327610445836994155e-02 1.078798045473988165e-01 2.157596090947976331e-01 5.155806492572069244e-01 1.031161298514413849e+00 7.180394482597783901e-01 1.436078896519556780e+00 5.272187014863919385e-01 1.054437402972783877e+00 7.260982726094257211e-01 1.452196545218851442e+00
1.200785559070016273e+00 -8.737474949899799448e-01 4.065876139477835327e-01 1.158491049443960592e-02 2.316982098887921185e-02 1.076332220758981356e-01 2.152664441517962712e-01 5.144312368266287239e-01 1.028862473653257448e+00 7.172386191684247958e-01 1.434477238336849592e+00 5.260161473210683836e-01 1.052032294642136767e+00 7.252697066064929254e-01 1.450539413212985851e+00
