# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
5.553947159131966682e-01 -1.000000000000000000e+00 1.526016023547733136e+00 1.479373114462060983e-02 2.958746228924121965e-02 1.216294830401766086e-01 2.432589660803532172e-01 2.715196657086226262e-01 5.430393314172452524e-01 5.210754894529415759e-01 1.042150978905883152e+00 2.863133968532432516e-01 5.726267937064865032e-01 5.350826075039659679e-01 1.070165215007931936e+00
1.882647263408756100e+00 -9.859719438877755371e-01 1.536353109501779945e+00 1.463879296149819646e-02 2.927758592299639293e-02 1.209908796624695887e-01 2.419817593249391774e-01 2.674381417133421257e-01 5.348762834266842514e-01 5.171442175190031909e-01 1.034288435038006382e+00 2.820769346748402961e-01 5.641538693496805923e-01 5.311091551412386869e-01 1.062218310282477374e+00
7.060949009397127218e-01 -9.719438877755510742e-01 1.546732419710565631e+00 1.448446607786087539e-02 2.896893215572175079e-02 1.203514274026730307e-01 2.407028548053460615e-01 2.639119418137437223e-01 5.278238836274874446e-01 5.137236044934510026e-01 1.027447208986902005e+00 2.783964078916045803e-01 5.567928157832091607e-01 5.276328343570030333e-01 1.055265668714006067e+00
5.816505486707329586e-01 -9.579158316633266113e-01 1.557153671287682783e+00 1.433075608268902061e-02 2.866151216537804122e-02 1.197111360011633152e-01 2.394222720023266304e-01 2.598954919903625482e-01 5.197909839807250965e-01 5.097994625245916289e-01 1.019598925049183258e+00 2.742262480730515706e-01 5.484524961461031412e-01 5.236661609012478458e-01 1.047332321802495692e+00
1.452250139483963753e+00 -9.438877755511021483e-01 1.567616578550071749e+00 1.417766851185892595e-02 2.835533702371785189e-02 1.190700151669551315e-01 2.381400303339102631e-01 2.563321610771350234e-01 5.126643221542700468e-01 5.062925647065489310e-01 1.012585129413097862e+00 2.705098295889939441e-01 5.410196591779878883e-01 5.201055946526570439e-01 1.040211189305314088e+00
1.050820034260390390e+00 -9.298597194388777964e-01 1.578120853028829096e+00 1.402520884776091263e-02 2.805041769552182526e-02 1.184280745759252462e-01 2.368561491518504925e-01 2.530142124458567565e-01 5.060284248917135130e-01 5.030051813310244535e-01 1.006010362662048907e+00 2.670394212936176848e-01 5.340788425872353695e-01 5.167585715724681839e-01 1.033517143144936368e+00
2.199410289118016948e+00 -9.158316633266533335e-01 1.588666203479553118e+00 1.387338251891086401e-02 2.774676503782172801e-02 1.177853238689390569e-01 2.355706477378781138e-01 2.494691297090443904e-01 4.989382594180887809e-01 4.994688475861576715e-01 9.989376951723153431e-01 2.633425122279552388e-01 5.266850244559104777e-01 5.131690873659043861e-01 1.026338174731808772e+00
7.579672130071792857e-01 -9.018036072144288706e-01 1.599252335893178056e+00 1.372219489957523728e-02 2.744438979915047455e-02 1.171417726499613676e-01 2.342835452999227352e-01 2.463153949240804996e-01 4.926307898481609993e-01 4.963017176316041335e-01 9.926034352632082669e-01 2.600375898236557126e-01 5.200751796473114252e-01 5.099388098817894122e-01 1.019877619763578824e+00
4.585892309169062875e-01 -8.877755511022044077e-01 1.609878953507283494e+00 1.357165130940229600e-02 2.714330261880459200e-02 1.164974304841196739e-01 2.329948609682393479e-01 2.428378324745674166e-01 4.856756649491348332e-01 4.927857876142202609e-01 9.855715752284405218e-01 2.564094837839697161e-01 5.128189675679394322e-01 5.063689206339284654e-01 1.012737841267856931e+00
1.515673887128119013e+00 -8.737474949899799448e-01 1.620545756817103555e+00 1.342175701304877157e-02 2.684351402609754314e-02 1.158523068956711366e-01 2.317046137913422732e-01 2.394180022933176388e-01 4.788360045866352777e-01 4.893035890868956406e-01 9.786071781737912811e-01 2.528397593063664295e-01 5.056795186127328590e-01 5.028317405518136773e-01 1.005663481103627355e+00
6.273581967110060109e-01 -8.597194388777554819e-01 1.631252443587154488e+00 1.327251721982162028e-02 2.654503443964324055e-02 1.152064113659548861e-01 2.304128227319097721e-01 2.363630215220068886e-01 4.727260430440137773e-01 4.861718024752226253e-01 9.723436049504452505e-01 2.496355387418285054e-01 4.992710774836570109e-01 4.996354058129072184e-01 9.992708116258144369e-01
8.942888368368533403e-01 -8.456913827655310190e-01 1.641998708862920875e+00 1.312393708331681397e-02 2.624787416663362793e-02 1.145597533312498612e-01 2.291195066624997223e-01 2.337667844850544741e-01 4.675335689701089481e-01 4.834943479349623763e-01 9.669886958699247526e-01 2.468907215683712741e-01 4.937814431367425483e-01 4.968809933659882883e-01 9.937619867319765765e-01
1.095113785234754999e+00 -8.316633266533066671e-01 1.652784244982990813e+00 1.297602170107212127e-02 2.595204340214424255e-02 1.139123421806088610e-01 2.278246843612177219e-01 2.303823335528039640e-01 4.607646671056079279e-01 4.799815970980595425e-01 9.599631941961190851e-01 2.433583552538760852e-01 4.867167105077521705e-01 4.933136479501414318e-01 9.866272959002828635e-01
1.583457667708976890e+00 -8.176352705410820931e-01 1.663608741590995033e+00 1.282877611421394740e-02 2.565755222842789479e-02 1.132641872535796179e-01 2.265283745071592358e-01 2.275076718231414108e-01 4.550153436462828216e-01 4.769776428965422643e-01 9.539552857930845287e-01 2.403364479373553686e-01 4.806728958747107372e-01 4.902412140338217039e-01 9.804824280676434078e-01
1.893267447190848163e+00 -8.036072144288577412e-01 1.674471885648172842e+00 1.268220530712011948e-02 2.536441061424023896e-02 1.126152978379053038e-01 2.252305956758106076e-01 2.243388946153682673e-01 4.486777892307365345e-01 4.736442701177416836e-01 9.472885402354833673e-01 2.370210999224883763e-01 4.740421998449767527e-01 4.868481281903920266e-01 9.736962563807840532e-01
2.274164480482360862e+00 -7.895791583166332783e-01 1.685373361445957396e+00 1.253631420707873069e-02 2.507262841415746138e-02 1.119656831671147768e-01 2.239313663342295535e-01 2.219082285015286093e-01 4.438164570030572187e-01 4.710713624298643598e-01 9.421427248597287196e-01 2.344445427086073452e-01 4.688890854172146905e-01 4.841947363495470169e-01 9.683894726990940338e-01
1.715703040124565204e+00 -7.755511022044088154e-01 1.696312850618839851e+00 1.239110768395864336e-02 2.478221536791728671e-02 1.113153524180678505e-01 2.226307048361357011e-01 2.187525329813387320e-01 4.375050659626774641e-01 4.677098812098571812e-01 9.354197624197143623e-01 2.311436406652973841e-01 4.622872813305947681e-01 4.807740016528528892e-01 9.615480033057057785e-01
2.581645419645407280e+00 -7.615230460921843525e-01 1.707290032157439352e+00 1.224659054988393690e-02 2.449318109976787380e-02 1.106643147084187123e-01 2.213286294168374246e-01 2.159833173265536255e-01 4.319666346531072509e-01 4.647400534993230137e-01 9.294801069986460273e-01 2.282299078764375710e-01 4.564598157528751421e-01 4.777341393248315526e-01 9.554682786496631053e-01
1.674835768278354786e+00 -7.474949899799598896e-01 1.718304582421799509e+00 1.210276755891048078e-02 2.420553511782096157e-02 1.100125790939857906e-01 2.200251581879715812e-01 2.134853630936416613e-01 4.269707261872833226e-01 4.620447630843159681e-01 9.240895261686319362e-01 2.255881306525521490e-01 4.511762613051042980e-01 4.749611885749741580e-01 9.499223771499483160e-01
