# X mode_0 mode_1
-2.789789789789789864e+00 7.096774419726555871e-01 2.903225580273444129e-01
-2.783783783783783772e+00 7.097047199958932406e-01 2.902952800041068149e-01
-2.777777777777777679e+00 7.097019337447549869e-01 2.902980662552449020e-01
-2.771771771771771586e+00 7.097042465720529991e-01 2.902957534279469454e-01
-2.765765765765765938e+00 7.097100421856828989e-01 2.902899578143171566e-01
-2.759759759759759845e+00 7.096854001971417691e-01 2.903145998028582309e-01
-2.753753753753753752e+00 7.097321217441215913e-01 2.902678782558784087e-01
-2.747747747747747660e+00 7.096947920737466386e-01 2.903052079262534169e-01
-2.741741741741741567e+00 7.096830252641224135e-01 2.903169747358775310e-01
-2.735735735735735918e+00 7.096610143348919264e-01 2.903389856651080736e-01
-2.729729729729729826e+00 7.097219847809372872e-01 2.902780152190627128e-01
-2.723723723723723733e+00 7.096524839419923181e-01 2.903475160580077374e-01
-2.717717717717717640e+00 7.097614909783852566e-01 2.902385090216146324e-01
-2.711711711711711548e+00 7.097331024464416105e-01 2.902668975535584450e-01
-2.705705705705705899e+00 7.096492741964560702e-01 2.903507258035439298e-01
-2.699699699699699806e+00 7.097031085671841044e-01 2.902968914328158401e-01
-2.693693693693693714e+00 7.096861202688599102e-01 2.903138797311400343e-01
-2.687687687687687621e+00 7.096605016677328681e-01 2.903394983322671319e-01
-2.681681681681681528e+00 7.096702738045032044e-01 2.903297261954967401e-01
-2.675675675675675436e+00 7.096908453969820174e-01 2.903091546030180381e-01
-2.669669669669669787e+00 7.096869866024356766e-01 2.903130133975643234e-01
-2.663663663663663694e+00 7.096884080099008507e-01 2.903115919900990938e-01
-2.657657657657657602e+00 7.096899721089614532e-01 2.903100278910384913e-01
-2.651651651651651509e+00 7.097080796352712717e-01 2.902919203647287283e-01
-2.645645645645645416e+00 7.096847404489998734e-01 2.903152595510000711e-01
-2.639639639639639768e+00 7.096919234205171234e-01 2.903080765794828766e-01
-2.633633633633633675e+00 7.097073514090670443e-01 2.902926485909329557e-01
-2.627627627627627582e+00 7.097270456699222851e-01 2.902729543300777704e-01
-2.621621621621621490e+00 7.096948442113025779e-01 2.903051557886974221e-01
-2.615615615615615397e+00 7.096721567248983620e-01 2.903278432751016380e-01
-2.609609609609609748e+00 7.096804695952605435e-01 2.903195304047395120e-01
-2.603603603603603656e+00 7.097063299223773658e-01 2.902936700776225232e-01
-2.597597597597597563e+00 7.096566168442831612e-01 2.903433831557168388e-01
-2.591591591591591470e+00 7.096877639473484489e-01 2.903122360526516066e-01
-2.585585585585585378e+00 7.096428680897807206e-01 2.903571319102192239e-01
-2.579579579579579729e+00 7.096461714009918431e-01 2.903538285990081014e-01
-2.573573573573573636e+00 7.096501279023026409e-01 2.903498720976974146e-01
-2.567567567567567544e+00 7.096872722238803943e-01 2.903127277761196612e-01
-2.561561561561561451e+00 7.096774270090809855e-01 2.903225729909190145e-01
-2.555555555555555358e+00 7.096535656522447999e-01 2.903464343477551446e-01
-2.549549549549549710e+00 7.096646210613073436e-01 2.903353789386927675e-01
-2.543543543543543617e+00 7.096694112233782326e-01 2.903305887766216564e-01
-2.537537537537537524e+00 7.096407159364578332e-01 2.903592840635421113e-01
-2.531531531531531432e+00 7.096671037796284942e-01 2.903328962203715058e-01
-2.525525525525525339e+00 7.097120879426785933e-01 2.902879120573215177e-01
-2.519519519519519690e+00 7.096862378726013221e-01 2.903137621273986779e-01
-2.513513513513513598e+00 7.096832527964013204e-01 2.903167472035986241e-01
-2.507507507507507505e+00 7.096886797783205081e-01 2.903113202216795474e-01
-2.501501501501501412e+00 7.097034346499057067e-01 2.902965653500943488e-01
-2.495495495495495319e+00 7.096943377123238195e-01 2.903056622876761805e-01
-2.489489489489489671e+00 7.097003246137627563e-01 2.902996753862373547e-01
-2.483483483483483578e+00 7.096374553801265694e-01 2.903625446198734861e-01
-2.477477477477477485e+00 7.097169902676513376e-01 2.902830097323486069e-01
-2.471471471471471393e+00 7.096615353922665070e-01 2.903384646077334930e-01
-2.465465465465465300e+00 7.096744354093633689e-01 2.903255645906365756e-01
-2.459459459459459651e+00 7.096663433891401418e-01 2.903336566108599692e-01
-2.453453453453453559e+00 7.096735311489383857e-01 2.903264688510616698e-01
-2.447447447447447466e+00 7.096930050043940286e-01 2.903069949956059714e-01
-2.441441441441441373e+00 7.097129640932917649e-01 2.902870359067081796e-01
-2.435435435435435281e+00 7.096404529816076057e-01 2.903595470183923388e-01
-2.429429429429429632e+00 7.096791285826042905e-01 2.903208714173957095e-01
-2.423423423423423539e+00 7.096444323714877767e-01 2.903555676285123344e-01
-2.417417417417417447e+00 7.096863502164172388e-01 2.903136497835827057e-01
-2.411411411411411354e+00 7.097022137303526934e-01 2.902977862696473621e-01
-2.405405405405405261e+00 7.097002075564090573e-01 2.902997924435909427e-01
-2.399399399399399613e+00 7.096568041646716951e-01 2.903431958353283049e-01
-2.393393393393393520e+00 7.096490040185216008e-01 2.903509959814783992e-01
-2.387387387387387427e+00 7.096705309758670754e-01 2.903294690241328135e-01
-2.381381381381381335e+00 7.096952866676162763e-01 2.903047133323836682e-01
-2.375375375375375242e+00 7.096700657984440497e-01 2.903299342015560058e-01
-2.369369369369369593e+00 7.096930195240260808e-01 2.903069804759738637e-01
-2.363363363363363501e+00 7.096699493967730810e-01 2.903300506032269745e-01
-2.357357357357357408e+00 7.096360148995494166e-01 2.903639851004505279e-01
-2.351351351351351315e+00 7.096943479928029541e-01 2.903056520071970459e-01
-2.345345345345345223e+00 7.096168075748110482e-01 2.903831924251888963e-01
-2.339339339339339574e+00 7.097221593535588680e-01 2.902778406464411320e-01
-2.333333333333333481e+00 7.096961863153574690e-01 2.903038136846425865e-01
-2.327327327327327389e+00 7.096861913712269043e-01 2.903138086287731512e-01
-2.321321321321321296e+00 7.096683017177322084e-01 2.903316982822677916e-01
-2.315315315315315203e+00 7.097101934834179060e-01 2.902898065165820940e-01
-2.309309309309309555e+00 7.096679111135313356e-01 2.903320888864686644e-01
-2.303303303303303462e+00 7.096900315010623572e-01 2.903099684989375873e-01
-2.297297297297297369e+00 7.096644774634146557e-01 2.903355225365853998e-01
-2.291291291291291277e+00 7.096627382744428170e-01 2.903372617255572941e-01
-2.285285285285285184e+00 7.097247894576583782e-01 2.902752105423416773e-01
-2.279279279279279535e+00 7.096500654407759123e-01 2.903499345592240322e-01
-2.273273273273273443e+00 7.097157637289556176e-01 2.902842362710443824e-01
-2.267267267267267350e+00 7.097265316835185134e-01 2.902734683164814866e-01
-2.261261261261261257e+00 7.096350538202184088e-01 2.903649461797817022e-01
-2.255255255255255165e+00 7.097527402609146163e-01 2.902472597390853282e-01
-2.249249249249249516e+00 7.096636089540554471e-01 2.903363910459446084e-01
-2.243243243243242979e+00 7.097243334586708086e-01 2.902756665413291359e-01
-2.237237237237237331e+00 7.096783794078094232e-01 2.903216205921905213e-01
-2.231231231231231238e+00 7.096828219778500424e-01 2.903171780221500686e-01
-2.225225225225225145e+00 7.096704441982401024e-01 2.903295558017599531e-01
-2.219219219219219497e+00 7.096468616376142569e-01 2.903531383623857431e-01
-2.213213213213212960e+00 7.096721220663272378e-01 2.903278779336728177e-01
-2.207207207207207311e+00 7.097296048745358465e-01 2.902703951254641535e-01
-2.201201201201201219e+00 7.096350337270870279e-01 2.903649662729129721e-01
-2.195195195195195126e+00 7.096845067174053501e-01 2.903154932825945944e-01
-2.189189189189189033e+00 7.097184867223828020e-01 2.902815132776171425e-01
-2.183183183183182940e+00 7.096681273520394351e-01 2.903318726479605094e-01
-2.177177177177177292e+00 7.096874313787290278e-01 2.903125686212710277e-01
-2.171171171171171199e+00 7.096754005593637338e-01 2.903245994406363217e-01
-2.165165165165165106e+00 7.096610366319097141e-01 2.903389633680902859e-01
-2.159159159159159014e+00 7.096868510368112837e-01 2.903131489631886608e-01
-2.153153153153152921e+00 7.097071098053329141e-01 2.902928901946670304e-01
-2.147147147147147273e+00 7.096568816662394141e-01 2.903431183337606414e-01
-2.141141141141141180e+00 7.096508033466530918e-01 2.903491966533468527e-01
-2.135135135135135087e+00 7.096714871347833409e-01 2.903285128652167701e-01
-2.129129129129128994e+00 7.096773700435033971e-01 2.903226299564966584e-01
-2.123123123123122902e+00 7.097136951576535902e-01 2.902863048423464098e-01
-2.117117117117117253e+00 7.096435692940957773e-01 2.903564307059041671e-01
-2.111111111111111160e+00 7.097243310311163178e-01 2.902756689688835712e-01
-2.105105105105105068e+00 7.096781237898044381e-01 2.903218762101956174e-01
-2.099099099099098975e+00 7.096932146977160683e-01 2.903067853022839873e-01
-2.093093093093092882e+00 7.096883606190466098e-01 2.903116393809533902e-01
-2.087087087087087234e+00 7.096489718220738707e-01 2.903510281779260183e-01
-2.081081081081081141e+00 7.097032069716466829e-01 2.902967930283532616e-01
-2.075075075075075048e+00 7.097136608702243610e-01 2.902863391297756945e-01
-2.069069069069068956e+00 7.096482109907659153e-01 2.903517890092341402e-01
-2.063063063063062863e+00 7.096711967548995359e-01 2.903288032451004641e-01
-2.057057057057057214e+00 7.096679628644843030e-01 2.903320371355155860e-01
-2.051051051051051122e+00 7.096952563011902360e-01 2.903047436988097085e-01
-2.045045045045045029e+00 7.096752127018078893e-01 2.903247872981921662e-01
-2.039039039039038936e+00 7.096419276411015664e-01 2.903580723588983781e-01
