X	y	y_std
-1.598721155460225418e-14	2.599530268780869680e-02	2.610743653089249716e-01
4.999999999998383515e-02	7.458475404874997938e-02	2.608105831018658338e-01
9.999999999998365752e-02	1.230883808286160619e-01	2.602961403445200328e-01
1.499999999999834799e-01	1.713388607520016649e-01	2.595439285049173650e-01
1.999999999999833022e-01	2.191700319818535858e-01	2.585711594851951567e-01
2.499999999999831246e-01	2.664178068758035201e-01	2.573990447507205626e-01
2.999999999999829470e-01	3.129210720091744058e-01	2.560524050051543599e-01
3.499999999999827693e-01	3.585225679806395283e-01	2.545592064143786803e-01
3.999999999999825917e-01	4.030697426694327401e-01	2.529500205101394839e-01
4.499999999999824141e-01	4.464155718186754163e-01	2.512574069545729372e-01
4.999999999999822364e-01	4.884193410765075849e-01	2.495152214454267325e-01
5.499999999999820588e-01	5.289473839335060434e-01	2.477578552486819352e-01
5.999999999999818812e-01	5.678737703491227862e-01	2.460194181033800997e-01
6.499999999999817035e-01	6.050809412589954750e-01	2.443328823255584148e-01
6.999999999999815259e-01	6.404602845958229373e-01	2.427292124053080646e-01
7.499999999999813483e-01	6.739126489356102034e-01	2.412365105806513754e-01
7.999999999999811706e-01	7.053487913944838095e-01	2.398792139357953934e-01
8.499999999999809930e-01	7.346897569446828591e-01	2.386773815746523197e-01
8.999999999999808153e-01	7.618671868869597574e-01	2.376461105017134978e-01
9.499999999999806377e-01	7.868235548054859363e-01	2.367951154076587406e-01
9.999999999999804601e-01	8.095123289350338869e-01	2.361285004645067576e-01
1.049999999999980282e+00	8.298980604830756835e-01	2.356447409097542911e-01
1.099999999999980105e+00	8.479563980656745770e-01	2.353368796299837862e-01
1.149999999999979927e+00	8.636740290296378575e-01	2.351929305546249238e-01
1.199999999999979750e+00	8.770485490382856630e-01	2.351964680223869730e-01
1.249999999999979572e+00	8.880882618882719459e-01	2.353273708356442839e-01
1.299999999999979394e+00	8.968119120941678846e-01	2.355626825187976392e-01
1.349999999999979217e+00	9.032483533200903469e-01	2.358775458259989022e-01
1.399999999999979039e+00	9.074361562478729937e-01	2.362461696908385866e-01
1.449999999999978861e+00	9.094231599438049596e-01	2.366427899766119225e-01
1.499999999999978684e+00	9.092659712158064345e-01	2.370425906682801787e-01
1.549999999999978506e+00	9.070294168355725883e-01	2.374225585475744082e-01
1.599999999999978328e+00	9.027859538317528632e-01	2.377622509927884709e-01
1.649999999999978151e+00	8.966150433371683492e-01	2.380444626241051409e-01
1.699999999999977973e+00	8.886024936927920947e-01	2.382557816011896812e-01
1.749999999999977796e+00	8.788397786715743676e-01	2.383870302438076128e-01
1.799999999999977618e+00	8.674233367849721876e-01	2.384335872660396649e-01
1.849999999999977440e+00	8.544538576736313562e-01	2.383955904226900124e-01
1.899999999999977263e+00	8.400355615613603888e-01	2.382780190002409260e-01
1.949999999999977085e+00	8.242754776692691188e-01	2.380906556476733715e-01
1.999999999999976907e+00	8.072827273465341680e-01	2.378479268768824706e-01
2.049999999999976730e+00	7.891678174781612265e-01	2.375686215312532157e-01
2.099999999999976552e+00	7.700419494815300414e-01	2.372754869926489152e-01
2.149999999999976374e+00	7.500163489062973143e-01	2.369947042253821579e-01
2.199999999999976197e+00	7.292016203107618555e-01	2.367552452478136338e-01
2.249999999999976019e+00	7.077071317070493528e-01	2.365881204900613932e-01
2.299999999999975842e+00	6.856404324527762828e-01	2.365255287927435224e-01
2.349999999999975664e+00	6.631067080239361200e-01	2.365999293493249445e-01
2.399999999999975486e+00	6.402082746385926448e-01	2.368430622261021024e-01
2.449999999999975309e+00	6.170441162196774743e-01	2.372849514296350437e-01
2.499999999999975131e+00	5.937094656939917448e-01	2.379529307838327001e-01
2.549999999999974953e+00	5.702954321295840012e-01	2.388707369418469062e-01
2.599999999999974776e+00	5.468886747210403021e-01	2.400577145797970768e-01
2.649999999999974598e+00	5.235711241477810640e-01	2.415281754235044653e-01
2.699999999999974420e+00	5.004197513596837510e-01	2.432909450465073342e-01
2.749999999999974243e+00	4.775063833925252688e-01	2.453491198688241282e-01
2.799999999999974065e+00	4.548975653875051428e-01	2.477000427027527540e-01
2.849999999999973888e+00	4.326544675888069347e-01	2.503354902550903871e-01
