M,linearization_reward,linearization_no_truncation_reward,means_only_reward,one_step_reward,linearization_reward_sem,linearization_no_truncation_reward_sem,means_only_reward_sem,one_step_reward_sem
20,0.6782427536231884,1.2900301932367149,0.8172584541062894,0.9732850241545897,0.017052179218641685,0.0197873870331293,0.01758780997624032,0.022235398248121624
30,0.9264915458937197,1.237300724637681,0.7248671497584543,0.8984782610036113,0.027649008653986434,0.025054828278749698,0.01368615741459362,0.023526630279445997
40,1.056334541062802,1.2890700483091788,0.9170652173913045,1.0690881664809495,0.01925076655729261,0.019653372329121035,0.023280029536963898,0.024563190477929958
50,0.9658937198067631,1.1043236714975846,0.8667572463768115,0.9755555555555557,0.025394617772070787,0.029278456324252404,0.020504065315844998,0.02790068762475
75,0.9282065217391304,1.0442874396135264,0.8983152173913043,1.034057971014493,0.024941821351958212,0.028070770353573096,0.022221424992147885,0.02387392684449618
100,0.9343478260869567,1.0795591787439613,0.9282971014492754,1.0539553140096622,0.03447383056249129,0.035475714644498266,0.02780402858505386,0.034432801696822446
150,0.9427777777777777,1.1161413043478263,0.9267934782608696,1.0601449275362318,0.04040630550443026,0.04264240747791797,0.033925288447115294,0.04327055063663118
