,#!line,omega,omega_dot,theta,theta_dot,psi_zero,r_zero,sin_psi,cos_psi,action_d,action_T,next_omega_delta,next_omega_dot_delta,next_theta_delta,next_theta_dot_delta,next_psi_zero_delta,next_r_zero_delta,next_sin_psi_delta,next_cos_psi_delta,next_psi_delta,psi,next_omega,next_omega_dot,next_theta,next_theta_dot,next_psi_zero,next_r_zero,next_sin_psi,next_cos_psi,next_psi,default_reward,step,episode,sin_psi_zero,cos_psi_zero,x_front,y_front,x_back,y_back
48166,48166.0,0.0,0.0,0.0,0.0,1.0056168276114716,26.721305632213472,0.6611405740373155,0.7502620484614752,-0.011905728198047362,-0.40909940263360006,-0.00023967715566972441,-0.003546147340795676,-0.02060067893745816,-0.4104693443936708,-0.0029491617878916188,0.2662545749724678,-0.0012932342699140118,0.0011376375924141424,-0.0017224038150165377,0.7223379787412929,-0.00023967715566972441,-0.003546147340795676,-0.02060067893745816,-0.4104693443936708,1.00266766582358,26.987560207185947,0.6598473397674015,0.7513996860538894,0.7206155749262764,0.19098133715201315,0.0,6662.0,0.8444924801157985,0.5355674103489381,14.311060458587063,22.56594166528021,13.478269584794825,21.83207562809879
48167,48167.0,-0.00023967715566972441,-0.003546147340795676,-0.02060067893745816,-0.4104693443936708,1.00266766582358,26.987560207185947,0.6598473397674015,0.7513996860538893,0.015729181830442883,1.6869756407790426,0.00038241618810688484,0.011882264746911439,0.0445895012142689,1.7074758642874024,-0.0029839148913656244,0.2657547641396221,-0.0023596013944479077,0.0020655579283520575,-0.0031359617911319577,0.7206155749262764,0.00014273903243716034,0.008336117406115763,0.02398882227681073,1.2970065198937315,0.9996837509322146,27.253314971325562,0.6574877383729536,0.7534652439822414,0.7174796131351444,0.19071007064780496,1.0,6662.0,0.8429093349566107,0.5380556226293005,14.52080851052317,22.748066426340596,13.686754859003353,22.01563587919878
48168,48168.0,0.00014273903243716034,0.008336117406115763,0.02398882227681073,1.2970065198937315,0.9996837509322146,27.253314971325562,0.6574877383729536,0.7534652439822414,0.00761469132217967,-1.1230144948951888,-1.3949158009230808e-05,-0.02093263217614163,0.07213201355361087,-1.1425590806769113,-0.002062681854263948,0.2726271342758437,0.013046547637579729,-0.01158670184455135,0.01744912003717314,0.7174796131351444,0.0001287898744279295,-0.01259651477002586,0.09612083583042162,0.15444743921682041,0.9976210690779505,27.52594210560141,0.6705342860105332,0.7418785421376899,0.7349287331723174,0.19074367506910536,2.0,6662.0,0.8413000726309743,0.540568393259463,14.732280685043529,22.928215864811015,13.895934264223241,22.198404475217036
48169,48169.0,0.0001287898744279295,-0.01259651477002586,0.09612083583042162,0.15444743921682041,0.9976210690779505,27.52594210560141,0.6705342860105332,0.7418785421376901,0.01606337241795815,0.6744101240876224,-0.002752174750700944,-0.03326784058073132,0.05246526571536834,0.7538079238757747,-0.0013344789269008617,0.2771675302889989,0.021364575714253542,-0.019884106463879395,0.02918703923017273,0.7349287331723174,-0.0026233848762730145,-0.045864355350757176,0.14858610154578994,0.9082553630925952,0.9962865901510496,27.803109635890408,0.6918988617247869,0.7219944356738106,0.7641157724024902,0.18646466641971793,3.0,6662.0,0.8401832630851326,0.5423025764567405,14.927389323266722,23.126835857776637,14.103904141493885,22.382542800304947
48170,48170.0,-0.0026233848762730145,-0.045864355350757176,0.14858610154578994,0.9082553630925952,0.9962865901510496,27.803109635890408,0.6918988617247869,0.7219944356738106,0.009250705757060154,-1.1648923179616637,-0.0074690004947345,-0.06039441192745412,0.03945812363318574,-1.0024566348261155,-0.0003409060105631356,0.28194542996099164,0.031561005747211,-0.0316279966304579,0.04468511482088199,0.7641157724024902,-0.010092385371007512,-0.1062587672782113,0.18804422517897568,-0.0942012717335201,0.9959456841404865,28.0850550658514,0.7234598674719978,0.6903664390433527,0.8088008872233722,0.17990722618537075,4.0,6662.0,0.8394588238262904,0.5434233001079186,15.108857591597838,23.339565713657965,14.307443767999908,22.571557977143453
48171,48171.0,-0.010092385371007512,-0.1062587672782113,0.18804422517897568,-0.0942012717335201,0.9959456841404865,28.0850550658514,0.7234598674719979,0.6903664390433528,0.0010884485206383576,-1.8900319494903328,-0.013906883704101097,-0.06114948197939491,-0.08981912786809143,-1.5826458717856347,-9.035524716038969e-05,0.28126377343958,0.026676373446612445,-0.029083126037121924,0.0394671927267618,0.8088008872233722,-0.02399926907510861,-0.1674082492576062,0.09822509731088425,-1.676847143519155,0.995855328893326,28.366318839290976,0.7501362409186102,0.6612833130062308,0.8482680799501343,0.17053461578399037,5.0,6662.0,0.839273518780938,0.5437094450835506,15.270109704995026,23.571042990273515,14.503802957656903,22.768002537379598
48172,48172.0,-0.02399926907510861,-0.1674082492576062,0.09822509731088425,-1.676847143519155,0.995855328893326,28.366318839290976,0.7501362409186104,0.6612833130062307,9.710129600492766e-05,-0.8271934595336049,-0.018038469579209567,-0.016436041597848727,-0.18801086501408037,-0.399722149230926,-0.0013069596625232547,0.2752842369714585,0.001248047829519594,-0.0014184400038357305,0.0018893375799695637,0.8482680799501343,-0.042037738654318174,-0.1838442908554549,-0.08978576770319614,-2.0765692927500803,0.994548369230803,28.64160307626244,0.7513842887481299,0.659864873002395,0.8501574175301037,0.16259383331067334,6.0,6662.0,0.8392243883537667,0.5437852756302309,15.425186508638856,23.8057065777519,14.691162031201939,22.973055350332242
48173,48173.0,-0.042037738654318174,-0.1838442908554549,-0.08978576770319614,-2.0765692927500803,0.994548369230803,28.64160307626244,0.7513842887481299,0.659864873002395,-0.0042521408671081055,0.7543776034528012,-0.01696006380082459,0.035627704968685635,-0.1477449740339371,1.1834240518244044,-0.0032252085042497884,0.2661366731282726,-0.029716930514789963,0.032375131663986645,-0.043949470969649074,0.8501574175301037,-0.058997802455142766,-0.1482165858867693,-0.23753074173713326,-0.8931452409256762,0.991323160726553,28.907739749390714,0.7216673582333399,0.6922400046663817,0.8062079465604547,0.16196411042179712,7.0,6662.0,0.8385129663780102,0.544881643309765,15.606283751219898,24.01635555729836,14.873833742187239,23.182318996787938
48174,48174.0,-0.058997802455142766,-0.1482165858867693,-0.23753074173713326,-0.8931452409256762,0.991323160726553,28.907739749390714,0.72166735823334,0.6922400046663816,0.012969716399877679,-0.10453347037693383,-0.01128341665499625,0.07465698726258738,-0.0792806499022443,0.1701697680279117,-0.004729658950313853,0.25398534144108703,-0.051386520343949416,0.04986753360438445,-0.0716207908759916,0.8062079465604547,-0.070281219110139,-0.07355959862418196,-0.31681139163937755,-0.7229754728977645,0.9865935017762392,29.1617250908318,0.6702808378893905,0.7421075382707661,0.7345871556844628,0.170120543673012,8.0,6662.0,0.836751251425322,0.5475831838526065,15.829392169953916,24.188587411180205,15.061005764774233,23.387536643541196
48175,48175.0,-0.070281219110139,-0.07355959862418196,-0.31681139163937755,-0.7229754728977645,0.9865935017762392,29.1617250908318,0.6702808378893904,0.7421075382707663,0.011321214987873581,1.6760488511896896,-0.0029962285785637977,0.08546371428147256,0.01842743543981884,1.7791655025341957,-0.00575969442744817,0.2393787244812309,-0.06431666999764785,0.0533844021228923,-0.08360980716781707,0.7345871556844628,-0.07327744768870283,0.011904115657290583,-0.2983839561995587,1.0561900296364313,0.980833807348791,29.40110381531303,0.6059641678917426,0.7954919403936584,0.6509773485166459,0.18414997533321056,9.0,6662.0,0.834152020465742,0.5515345925260903,16.08370016532978,24.32531190478387,15.25996079784923,23.581300174726646
