X	y
-2.000000000000000000e+00	1.764569846755564776e-47
-1.989999999999999991e+00	3.392962411041694352e-47
-1.979999999999999982e+00	6.510800150713740049e-47
-1.969999999999999973e+00	1.246823801279658311e-46
-1.959999999999999964e+00	2.382821388119693000e-46
-1.949999999999999956e+00	4.544581196795815243e-46
-1.939999999999999947e+00	8.649928254306967356e-46
-1.929999999999999938e+00	1.643038327714452973e-45
-1.919999999999999929e+00	3.114581703100689442e-45
-1.909999999999999920e+00	5.892083612359072160e-45
-1.899999999999999911e+00	1.112385992963316416e-44
-1.889999999999999902e+00	2.095848370990417881e-44
-1.879999999999999893e+00	3.940780508966153626e-44
-1.869999999999999885e+00	7.394741163002251721e-44
-1.859999999999999876e+00	1.384785021459260333e-43
-1.849999999999999867e+00	2.587978687865047550e-43
-1.839999999999999858e+00	4.826788862020620667e-43
-1.829999999999999849e+00	8.984118847054920970e-43
-1.819999999999999840e+00	1.668831807983921236e-42
-1.809999999999999831e+00	3.093640601017277712e-42
-1.799999999999999822e+00	5.723315345602061371e-42
-1.789999999999999813e+00	1.056686934921727199e-41
-1.779999999999999805e+00	1.947000960859289718e-41
-1.769999999999999796e+00	3.580201593223305391e-41
-1.759999999999999787e+00	6.570079243615287102e-41
-1.749999999999999778e+00	1.203249995954035850e-40
-1.739999999999999769e+00	2.199194245184101616e-40
-1.729999999999999760e+00	4.011382714335002829e-40
-1.719999999999999751e+00	7.302099078924203600e-40
-1.709999999999999742e+00	1.326553551725680591e-39
-1.699999999999999734e+00	2.405058385480773563e-39
-1.689999999999999725e+00	4.351615975125004417e-39
-1.679999999999999716e+00	7.857781219958040981e-39
-1.669999999999999707e+00	1.416035253819939242e-38
-1.659999999999999698e+00	2.546673635457180954e-38
-1.649999999999999689e+00	4.570860253464316270e-38
-1.639999999999999680e+00	8.187444163695368223e-38
-1.629999999999999671e+00	1.463608241528663249e-37
-1.619999999999999662e+00	2.611125584177016638e-37
-1.609999999999999654e+00	4.648977275565571783e-37
-1.599999999999999645e+00	8.260648951539356591e-37
-1.589999999999999636e+00	1.464867418869522671e-36
-1.579999999999999627e+00	2.592448942450921879e-36
-1.569999999999999618e+00	4.578784157254549299e-36
-1.559999999999999609e+00	8.070836065301159878e-36
-1.549999999999999600e+00	1.419762175586495227e-35
-1.539999999999999591e+00	2.492537631672105655e-35
-1.529999999999999583e+00	4.367141020230492123e-35
-1.519999999999999574e+00	7.636289777562974338e-35
-1.509999999999999565e+00	1.332593214270110892e-34
-1.499999999999999556e+00	2.320828910884050683e-34
-1.489999999999999547e+00	4.033845890825184121e-34
-1.479999999999999538e+00	6.997234705245982469e-34
-1.469999999999999529e+00	1.211336644848643553e-33
-1.459999999999999520e+00	2.092834347103900991e-33
-1.449999999999999512e+00	3.608583383014251956e-33
-1.439999999999999503e+00	6.209703042866808053e-33
-1.429999999999999494e+00	1.066442433576294849e-32
-1.419999999999999485e+00	1.827834200047243279e-32
-1.409999999999999476e+00	3.126578035947958506e-32
-1.399999999999999467e+00	5.337466105467424317e-32
-1.389999999999999458e+00	9.093575143014204265e-32
-1.379999999999999449e+00	1.546208820980930498e-31
-1.369999999999999440e+00	2.623831074062325775e-31
-1.359999999999999432e+00	4.443632254195736792e-31
-1.349999999999999423e+00	7.510608722734634704e-31
-1.339999999999999414e+00	1.266914247391003046e-30
-1.329999999999999405e+00	2.132822054693445037e-30
-1.319999999999999396e+00	3.583419108286681940e-30
-1.309999999999999387e+00	6.008643277799387681e-30
-1.299999999999999378e+00	1.005521408714317701e-29
-1.289999999999999369e+00	1.679355149891316999e-29
-1.279999999999999361e+00	2.799176911716427004e-29
-1.269999999999999352e+00	4.656450028963399502e-29
