X	y	y_2std
-1.000000000000000000e+01	-3.523714965503887426e-11	5.038357526654512419e+00
-9.949999999999999289e+00	-5.388870191449321031e-11	5.038357526654512419e+00
-9.899999999999998579e+00	-8.212031104896809874e-11	5.038357526654512419e+00
-9.849999999999997868e+00	-1.246979601181115476e-10	5.038357526654512419e+00
-9.799999999999997158e+00	-1.886791885059294195e-10	5.038357526654512419e+00
-9.749999999999996447e+00	-2.844752735894993507e-10	5.038357526654512419e+00
-9.699999999999995737e+00	-4.273866049478060748e-10	5.038357526654512419e+00
-9.649999999999995026e+00	-6.398131060049424122e-10	5.038357526654512419e+00
-9.599999999999994316e+00	-9.544236299391355724e-10	5.038357526654512419e+00
-9.549999999999993605e+00	-1.418681945595525152e-09	5.038357526654512419e+00
-9.499999999999992895e+00	-2.101283683819775168e-09	5.038357526654512419e+00
-9.449999999999992184e+00	-3.101273737305418723e-09	5.038357526654512419e+00
-9.399999999999991473e+00	-4.560907438602820696e-09	5.038357526654512419e+00
-9.349999999999990763e+00	-6.683718269925488915e-09	5.038357526654512419e+00
-9.299999999999990052e+00	-9.759795227932956500e-09	5.038357526654512419e+00
-9.249999999999989342e+00	-1.420100046561132532e-08	5.038357526654512419e+00
-9.199999999999988631e+00	-2.058983247030537964e-08	5.038357526654512419e+00
-9.149999999999987921e+00	-2.974693930790894230e-08	5.038357526654512419e+00
-9.099999999999987210e+00	-4.282400983425271537e-08	5.038357526654511531e+00
-9.049999999999986500e+00	-6.143104510818469619e-08	5.038357526654511531e+00
-8.999999999999985789e+00	-8.780999829733313787e-08	5.038357526654511531e+00
-8.949999999999985079e+00	-1.250706715105758366e-07	5.038357526654509755e+00
-8.899999999999984368e+00	-1.775098252081818054e-07	5.038357526654507090e+00
-8.849999999999983658e+00	-2.510410041633623666e-07	5.038357526654502649e+00
-8.799999999999982947e+00	-3.537710003139569427e-07	5.038357526654492879e+00
-8.749999999999982236e+00	-4.967696303571939016e-07	5.038357526654473340e+00
-8.699999999999981526e+00	-6.950931784255324647e-07	5.038357526654436036e+00
-8.649999999999980815e+00	-9.691391317339116233e-07	5.038357526654364982e+00
-8.599999999999980105e+00	-1.346431542222216343e-06	5.038357526654228202e+00
-8.549999999999979394e+00	-1.863963450940030009e-06	5.038357526653967078e+00
-8.499999999999978684e+00	-2.571256448828905849e-06	5.038357526653475915e+00
-8.449999999999977973e+00	-3.534338928713943694e-06	5.038357526652553986e+00
-8.399999999999977263e+00	-4.840895405310681366e-06	5.038357526650838025e+00
-8.349999999999976552e+00	-6.606901128229341023e-06	5.038357526647668116e+00
-8.299999999999975842e+00	-8.985130956332965915e-06	5.038357526641854101e+00
-8.249999999999975131e+00	-1.217602113672216715e-05	5.038357526631266126e+00
-8.199999999999974420e+00	-1.644146941073984923e-05	5.038357526612124104e+00
-8.149999999999973710e+00	-2.212228501207109252e-05	5.038357526577769363e+00
-8.099999999999972999e+00	-2.966014790196122062e-05	5.038357526516556106e+00
-8.049999999999972289e+00	-3.962510819208055321e-05	5.038357526408272946e+00
-7.999999999999971578e+00	-5.274985410797101407e-05	5.038357526218116611e+00
-7.949999999999970868e+00	-6.997220163188447469e-05	5.038357525886598687e+00
-7.899999999999970157e+00	-9.248751212713133554e-05	5.038357525312822993e+00
-7.849999999999969447e+00	-1.218130259373326115e-04	5.038357524326955605e+00
-7.799999999999968736e+00	-1.598664091853826432e-04	5.038357522645328324e+00
-7.749999999999968026e+00	-2.090611453034704780e-04	5.038357519797748374e+00
-7.699999999999967315e+00	-2.724217578863369262e-04	5.038357515010853938e+00
-7.649999999999966604e+00	-3.537222206860659917e-04	5.038357507022431570e+00
-7.599999999999965894e+00	-4.576512846665325876e-04	5.038357493788314656e+00
-7.549999999999965183e+00	-5.900088185739507489e-04	5.038357472023603734e+00
-7.499999999999964473e+00	-7.579376024516265402e-04	5.038357436490599639e+00
-7.449999999999963762e+00	-9.701953129721204187e-04	5.038357378902998285e+00
-7.399999999999963052e+00	-1.237471671154561368e-03	5.038357286253961398e+00
-7.349999999999962341e+00	-1.572755858294221836e-03	5.038357138287137715e+00
-7.299999999999961631e+00	-1.991759311572180446e-03	5.038356903704539924e+00
-7.249999999999960920e+00	-2.513398849321630407e-03	5.038356534530186615e+00
-7.199999999999960210e+00	-3.160344705884887261e-03	5.038355957806688323e+00
