M,linearization_percentage_sem,linearization_no_truncation_percentage_sem,means_only_percentage_sem,one_step_percentage_sem,linearization_percentage,linearization_no_truncation_percentage,means_only_percentage,one_step_percentage
20,2.338605997562223,2.338605997562223,2.338605997562223,2.338605997562223,27.028985507246375,86.59420289855072,49.27536231884058,60.869565217391305
30,2.338605997562223,2.338605997562223,2.338605997562223,2.338605997562223,52.971014492753625,81.73913043478261,42.82608695652174,55.072463768115945
40,2.338605997562223,2.338605997562223,2.338605997562223,2.338605997562223,63.69565217391305,86.15942028985508,56.95652173913044,68.18840579710145
50,2.338605997562223,2.338605997562223,2.338605997562223,2.338605997562223,58.405797101449274,71.23188405797102,52.7536231884058,61.08695652173913
75,2.338605997562223,2.338605997562223,2.338605997562223,2.338605997562223,53.91304347826087,65.65217391304348,55.72463768115942,66.08695652173913
100,2.338605997562223,2.338605997562223,2.338605997562223,2.338605997562223,55.21739130434783,67.7536231884058,57.971014492753625,66.44927536231884
150,2.338605997562223,2.338605997562223,2.338605997562223,2.338605997562223,56.17238860482104,71.52173913043478,58.11594202898551,68.6231884057971
