X	y	y_std
-1.350000000000011191e+00	-8.647068989841470987e-01	1.913231625897827692e-01
-1.300000000000011369e+00	-8.585910166602663818e-01	1.913050131232291728e-01
-1.250000000000011546e+00	-8.501263695163516765e-01	1.912924410409280462e-01
-1.200000000000011724e+00	-8.392968164805546527e-01	1.912846286919092087e-01
-1.150000000000011902e+00	-8.260952900142102262e-01	1.912806688095096963e-01
-1.100000000000012079e+00	-8.105239665648986680e-01	1.912796162649667842e-01
-1.050000000000012257e+00	-7.925943877796692849e-01	1.912805353816541265e-01
-1.000000000000012434e+00	-7.723275311605194426e-01	1.912825413136155506e-01
-9.500000000000126121e-01	-7.497538292201281207e-01	1.912848344470707007e-01
-9.000000000000127898e-01	-7.249131365825117745e-01	1.912867272137478980e-01
-8.500000000000129674e-01	-6.978546448678883962e-01	1.912876630963946389e-01
-8.000000000000131450e-01	-6.686367455983623920e-01	1.912872279494342298e-01
-7.500000000000133227e-01	-6.373268417584818657e-01	1.912851540452821242e-01
-7.000000000000135003e-01	-6.040011090368611057e-01	1.912813174863288168e-01
-6.500000000000136779e-01	-5.687442081586379095e-01	1.912757297943951385e-01
-6.000000000000138556e-01	-5.316489500896357523e-01	1.912685246061504307e-01
-5.500000000000140332e-01	-4.928159162473259580e-01	1.912599404693021976e-01
-5.000000000000142109e-01	-4.523530361880526707e-01	1.912503007563794710e-01
-4.500000000000143885e-01	-4.103751255509347495e-01	1.912399916974397707e-01
-4.000000000000145661e-01	-3.670033873229179844e-01	1.912294394874874126e-01
-3.500000000000147438e-01	-3.223648797446058145e-01	1.912190873558360926e-01
-3.000000000000149214e-01	-2.765919543995367658e-01	1.912093734000692435e-01
-2.500000000000150990e-01	-2.298216682191083216e-01	1.912007098925840587e-01
-2.000000000000152767e-01	-1.821951732893575260e-01	1.911934646682015571e-01
-1.500000000000154543e-01	-1.338570884632959701e-01	1.911879451009752817e-01
-1.000000000000156319e-01	-8.495485686290260574e-02	1.911843850800168942e-01
-5.000000000001580958e-02	-3.563809339733559067e-02	1.911829352995606524e-01
-1.598721155460225418e-14	1.394207357047438922e-02	1.911836570881912944e-01
4.999999999998383515e-02	6.363366230832512294e-02	1.911865199158241657e-01
9.999999999998365752e-02	1.132844955167191525e-01	1.911914026334596839e-01
1.499999999999834799e-01	1.627428519162329446e-01	1.911980984184113996e-01
1.999999999999833022e-01	2.118581078215944213e-01	1.912063233147856811e-01
2.499999999999831246e-01	2.604813650679442816e-01	1.912157281736958092e-01
2.999999999999829470e-01	3.084660618460104420e-01	1.912259137088513361e-01
3.499999999999827693e-01	3.556685632192263524e-01	1.912364482899677476e-01
3.999999999999825917e-01	4.019487283339742145e-01	1.912468879992823834e-01
4.499999999999824141e-01	4.471704515904812993e-01	1.912567983764901780e-01
4.999999999999822364e-01	4.912021753138023916e-01	1.912657771772777460e-01
5.499999999999820588e-01	5.339173717473881808e-01	1.912734773737828908e-01
5.999999999999818812e-01	5.751949924835075834e-01	1.912796295367201749e-01
6.499999999999817035e-01	6.149198837405618345e-01	1.912840626642298147e-01
6.999999999999815259e-01	6.529831661949476729e-01	1.912867224684359491e-01
7.499999999999813483e-01	6.892825783699836339e-01	1.912876861042809851e-01
7.999999999999811706e-01	7.237227828744303704e-01	1.912871723338097352e-01
8.499999999999809930e-01	7.562156350644155811e-01	1.912855461697666182e-01
8.999999999999808153e-01	7.866804139731620182e-01	1.912833171415077582e-01
9.499999999999806377e-01	8.150440156094602706e-01	1.912811304790869027e-01
9.999999999999804601e-01	8.412411089670552844e-01	1.912797507213190307e-01
1.049999999999980282e+00	8.652142553103263634e-01	1.912800375217684756e-01
1.099999999999980105e+00	8.869139915057175916e-01	1.912829137512782884e-01
1.149999999999979927e+00	9.062988783521299663e-01	1.912893263715970404e-01
1.199999999999979750e+00	9.233355150258657495e-01	1.913002009732496234e-01
1.249999999999979572e+00	9.379985208962038357e-01	1.913163913192059695e-01
1.299999999999979394e+00	9.502704860865589520e-01	1.913386256978776012e-01
1.349999999999979217e+00	9.601418922528146549e-01	1.913674523447660980e-01
1.399999999999979039e+00	9.676110051263664413e-01	1.914031866195428921e-01
1.449999999999978861e+00	9.726837404242028029e-01	1.914458630010100471e-01
1.499999999999978684e+00	9.753735047644735978e-01	1.914951952630324639e-01
1.549999999999978506e+00	9.757010132433392435e-01	1.915505483985715796e-01
1.599999999999978328e+00	9.736940853300812826e-01	1.916109259486950267e-01
1.649999999999978151e+00	9.693874207235300133e-01	1.916749763558503461e-01
1.699999999999977973e+00	9.628223567859337528e-01	1.917410217890565538e-01
1.749999999999977796e+00	9.540466091322064024e-01	1.918071125826515122e-01
1.799999999999977618e+00	9.431139969052577676e-01	1.918711099954214794e-01
1.849999999999977440e+00	9.300841542134299367e-01	1.919307994436869058e-01
1.899999999999977263e+00	9.150222291465102131e-01	1.919840357028836653e-01
1.949999999999977085e+00	8.979985717236260712e-01	1.920289208195617991e-01
1.999999999999976907e+00	8.790884120619875119e-01	1.920640146377952939e-01
2.049999999999976730e+00	8.583715299911398589e-01	1.920885769216720829e-01
2.099999999999976552e+00	8.359319172752801563e-01	1.921028390394286245e-01
2.149999999999976374e+00	8.118574335469181946e-01	1.921083020427867549e-01
2.199999999999976197e+00	7.862394570008861550e-01	1.921080566922822586e-01
2.249999999999976019e+00	7.591725308484900125e-01	1.921071194992569620e-01
2.299999999999975842e+00	7.307540064889934683e-01	1.921127771251672223e-01
2.349999999999975664e+00	7.010836843197254531e-01	1.921349294494957838e-01
2.399999999999975486e+00	6.702634530775535282e-01	1.921864192580174102e-01
2.449999999999975309e+00	6.383969285831194718e-01	1.922833338236402678e-01
2.499999999999975131e+00	6.055890927452396433e-01	1.924452607337655274e-01
2.549999999999974953e+00	5.719459336757370949e-01	1.926954773493063378e-01
2.599999999999974776e+00	5.375740877642498639e-01	1.930610505954183653e-01
2.649999999999974598e+00	5.025804845676273835e-01	1.935728218918985888e-01
2.699999999999974420e+00	4.670719953783297740e-01	1.942652516241099303e-01
2.749999999999974243e+00	4.311550863501407704e-01	1.951760994659317017e-01
2.799999999999974065e+00	3.949354770760966638e-01	1.963459219573791825e-01
2.849999999999973888e+00	3.585178055315694223e-01	1.978173777039235748e-01
2.899999999999973710e+00	3.220053003144753845e-01	1.996343436458564713e-01
2.949999999999973532e+00	2.854994611317427378e-01	2.018408625308148185e-01
2.999999999999973355e+00	2.490997484974282195e-01	2.044799605037303236e-01
3.049999999999973177e+00	2.129032836194442169e-01	2.075923920789408406e-01
3.099999999999972999e+00	1.770045594601090677e-01	2.112153844359797028e-01
3.149999999999972822e+00	1.414951639572650244e-01	2.153814606919645935e-01
3.199999999999972644e+00	1.064635163881906266e-01	2.201174201082259085e-01
3.249999999999972466e+00	7.199461784617433580e-02	2.254435413450445458e-01
3.299999999999972289e+00	3.816981677891773117e-02	2.313730542879033902e-01
3.349999999999972111e+00	5.066590508312707186e-03	2.379118999792692313e-01
3.399999999999971934e+00	-2.724165638797337863e-02	2.450587712626594861e-01
3.449999999999971756e+00	-5.868577600126867466e-02	2.528054032793899397e-01
