# Y X drop drop_diff a0 a1
2.500000000000000000e+00 0.000000000000000000e+00 -6.581587380816156241e-04 -6.581587380816156241e-04 4.403521842321552193e-01 5.285553023541553763e-01
2.647058823529411686e+00 0.000000000000000000e+00 -3.891023939979199042e-04 -3.891023939979199042e-04 4.548925320541993278e-01 5.106612821363739618e-01
2.794117647058823817e+00 0.000000000000000000e+00 -1.586050275336425841e-03 -1.586050275336425841e-03 4.662217877537339072e-01 4.949297682806014786e-01
2.941176470588235503e+00 0.000000000000000000e+00 1.225915094873464284e-04 1.225915094873464284e-04 4.732365291401230967e-01 4.821898727123611894e-01
3.088235294117647189e+00 0.000000000000000000e+00 4.522218332938532370e-04 4.522218332938532370e-04 4.755986183831779623e-01 4.726042314427981728e-01
3.235294117647058876e+00 0.000000000000000000e+00 2.508695083649481461e-04 2.508695083649481461e-04 4.729096713518461947e-01 4.663587983608608600e-01
3.382352941176470562e+00 0.000000000000000000e+00 -6.215585246440724632e-04 -6.215585246440724632e-04 4.645939864825425203e-01 4.636701809853740475e-01
3.529411764705882248e+00 0.000000000000000000e+00 -5.655390053396214256e-04 -5.655390053396214256e-04 4.507603124688621121e-01 4.644279342334883820e-01
3.676470588235294379e+00 0.000000000000000000e+00 7.832034876091853448e-04 7.832034876091853448e-04 4.310398725360117256e-01 4.687163718162414283e-01
3.823529411764706065e+00 0.000000000000000000e+00 -1.393539103544672031e-04 -1.393539103544672031e-04 4.064475169620206940e-01 4.755942524420532780e-01
3.970588235294117752e+00 0.000000000000000000e+00 -2.821487299953240324e-05 -2.821487299953240324e-05 3.771559088836228257e-01 4.854784830447355093e-01
4.117647058823529882e+00 0.000000000000000000e+00 8.615264801672406492e-04 8.615264801672406492e-04 3.441748705307908218e-01 4.975181677697305127e-01
4.264705882352941124e+00 0.000000000000000000e+00 4.306734359635910891e-04 4.306734359635910891e-04 3.094332609628861475e-01 5.109530762801902659e-01
4.411764705882353255e+00 0.000000000000000000e+00 1.050762119341186462e-04 1.050762119341186462e-04 2.737374178196711472e-01 5.257571146582263877e-01
4.558823529411764497e+00 0.000000000000000000e+00 1.286325398499599260e-04 1.286325398499599260e-04 2.385789884820992968e-01 5.417252476854972354e-01
4.705882352941176627e+00 0.000000000000000000e+00 3.221330554388224243e-04 3.221330554388224243e-04 2.054884773319330116e-01 5.580252635986842069e-01
4.852941176470588758e+00 0.000000000000000000e+00 -5.320036521834214938e-04 -5.320036521834214938e-04 1.750757295277920456e-01 5.750027979290417424e-01
5.000000000000000000e+00 0.000000000000000000e+00 -5.183333541078916085e-04 -5.183333541078916085e-04 1.480464799148568378e-01 5.924523627896309819e-01
0.000000000000000000e+00 1.470588235294117696e-01 -5.859522924587245996e-04 -1.476447758218704942e-01 1.820958551560254712e-01 4.216439490524744871e-01
1.470588235294117696e-01 1.470588235294117696e-01 -1.069954169903297725e-04 -1.471658189464020994e-01 2.040491274730526494e-01 4.870666032181524829e-01
2.941176470588235392e-01 1.470588235294117696e-01 5.758067362593433103e-04 -1.464830167931524263e-01 2.229984544674479818e-01 5.425713672908716312e-01
4.411764705882352811e-01 1.470588235294117696e-01 -2.778691815965572687e-04 -1.473366927110083269e-01 2.394754763130114983e-01 5.852745041511441260e-01
5.882352941176470784e-01 1.470588235294117696e-01 -8.889871478530153581e-04 -1.479478106772647850e-01 2.541165758027431054e-01 6.156120650649951065e-01
7.352941176470588758e-01 1.470588235294117696e-01 2.993689832337942391e-04 -1.467594545461779754e-01 2.675732869213268139e-01 6.349894278058128005e-01
8.823529411764705621e-01 1.470588235294117696e-01 -4.612756742852219816e-04 -1.475200992036969916e-01 2.808756651410413419e-01 6.451823533323562954e-01
