# X mu
-1.168776444459252772e+00 -9.774436090225564755e-02
-1.164004954585975637e+00 -9.874686716791980512e-02
-1.159233464712698281e+00 -9.974937343358397657e-02
-1.154461974839421146e+00 -9.974937343358397657e-02
-1.149690484966144011e+00 -9.974937343358397657e-02
-1.144918995092866654e+00 -1.007518796992481341e-01
-1.140147505219589519e+00 -1.017543859649122917e-01
-1.135376015346312384e+00 -1.027568922305764493e-01
-1.130604525473035027e+00 -1.027568922305764493e-01
-1.125833035599757892e+00 -1.037593984962406068e-01
-1.121061545726480757e+00 -5.012531328320857238e-04
-1.116290055853203400e+00 -1.503759398496257171e-03
-1.111518565979926265e+00 -2.506265664160400863e-03
-1.106747076106648908e+00 5.012531328320579682e-04
-1.101975586233371773e+00 2.506265664160400863e-03
-1.097204096360094638e+00 3.508771929824544555e-03
-1.092432606486817281e+00 5.513784461152859695e-03
-1.087661116613540147e+00 6.516290726817031143e-03
-1.082889626740263012e+00 5.513784461152859695e-03
-1.078118136866985655e+00 5.513784461152859695e-03
-1.073346646993708520e+00 5.513784461152859695e-03
-1.068575157120431385e+00 5.513784461152859695e-03
-1.063803667247154028e+00 5.513784461152859695e-03
-1.059032177373876893e+00 -1.228070175438596562e-01
-1.054260687500599758e+00 -1.238095238095238276e-01
-1.049489197627322401e+00 1.503759398496229416e-03
-1.044717707754045266e+00 -4.561403508771930126e-02
-1.039946217880768131e+00 -4.661654135338347271e-02
-1.035174728007490774e+00 -4.862155388471178785e-02
-1.030403238134213639e+00 5.012531328320579682e-04
-1.025631748260936504e+00 -5.012531328320857238e-04
-1.020860258387659147e+00 -1.503759398496257171e-03
-1.016088768514382012e+00 -1.503759398496257171e-03
-1.011317278641104878e+00 4.461152882205512982e-02
-1.006545788767827521e+00 3.959899749373432809e-02
-1.001774298894550386e+00 3.759398496240601295e-02
-9.970028090212731398e-01 3.659147869674184150e-02
-9.922313191479960048e-01 1.152882205513783287e-02
-9.874598292747187589e-01 1.052631578947366142e-02
-9.826883394014415130e-01 1.152882205513783287e-02
-9.779168495281643780e-01 1.152882205513783287e-02
-9.731453596548871321e-01 1.253132832080200432e-02
-9.683738697816098862e-01 1.754385964912280604e-02
-9.636023799083326402e-01 1.754385964912280604e-02
-9.588308900350555053e-01 3.659147869674184150e-02
-9.540594001617782594e-01 3.558897243107767006e-02
-9.492879102885010134e-01 3.558897243107767006e-02
-9.445164204152238785e-01 3.558897243107767006e-02
-9.397449305419466326e-01 3.458646616541352636e-02
-9.349734406686693866e-01 3.458646616541352636e-02
-9.302019507953922517e-01 3.358395989974935492e-02
-9.254304609221150058e-01 3.358395989974935492e-02
-9.206589710488377598e-01 3.458646616541352636e-02
-9.158874811755606249e-01 3.659147869674184150e-02
-9.111159913022833789e-01 4.060150375939847178e-02
-9.063445014290061330e-01 4.060150375939847178e-02
-9.015730115557289981e-01 3.859649122807015664e-02
-8.968015216824517521e-01 5.864661654135339131e-02
-8.920300318091745062e-01 5.964912280701750724e-02
-8.872585419358973713e-01 -1.568922305764411107e-01
-8.824870520626201253e-01 -1.578947368421052821e-01
-8.777155621893428794e-01 -1.578947368421052821e-01
-8.729440723160657445e-01 -1.578947368421052821e-01
-8.681725824427884985e-01 -1.578947368421052821e-01
-8.634010925695112526e-01 -1.578947368421052821e-01
-8.586296026962340067e-01 -1.578947368421052821e-01
-8.538581128229568717e-01 -1.578947368421052821e-01
-8.490866229496796258e-01 -1.578947368421052821e-01
-8.443151330764023799e-01 -1.588972431077694258e-01
-8.395436432031252449e-01 -1.609022556390977687e-01
-8.347721533298479990e-01 -1.619047619047619124e-01
-8.300006634565707531e-01 1.258145363408521011e-01
-8.252291735832936181e-01 1.248120300751879297e-01
-8.204576837100163722e-01 1.248120300751879297e-01
-8.156861938367391263e-01 1.248120300751879297e-01
-8.109147039634619913e-01 1.248120300751879297e-01
-8.061432140901847454e-01 1.248120300751879297e-01
-8.013717242169074995e-01 1.238095238095238138e-01
-7.966002343436303645e-01 1.238095238095238138e-01
-7.918287444703531186e-01 1.238095238095238138e-01
-7.870572545970758727e-01 -6.065162907268170644e-02
-7.822857647237987377e-01 -9.172932330827068825e-02
-7.775142748505214918e-01 -9.172932330827068825e-02
-7.727427849772442459e-01 -9.373433583959900339e-02
-7.679712951039671109e-01 -6.466165413533836448e-02
-7.631998052306898650e-01 -6.466165413533836448e-02
-7.584283153574126191e-01 -6.566416040100250817e-02
-7.536568254841353731e-01 -6.566416040100250817e-02
-7.488853356108582382e-01 -6.466165413533836448e-02
-7.441138457375809923e-01 -6.466165413533836448e-02
-7.393423558643037463e-01 -6.566416040100250817e-02
-7.345708659910266114e-01 -6.566416040100250817e-02
-7.297993761177493655e-01 -6.666666666666667962e-02
-7.250278862444721195e-01 -6.867167919799499476e-02
-7.202563963711949846e-01 -6.967418546365916621e-02
-7.154849064979177387e-01 -7.167919799498748135e-02
-7.107134166246404927e-01 9.273182957393483195e-02
-7.059419267513633578e-01 8.872180451127820167e-02
-7.011704368780861119e-01 8.671679197994985877e-02
-6.963989470048088659e-01 8.671679197994985877e-02
-6.916274571315317310e-01 8.571428571428568732e-02
-6.868559672582544851e-01 8.571428571428568732e-02
-6.820844773849772391e-01 8.571428571428568732e-02
-6.773129875117001042e-01 8.671679197994985877e-02
-6.725414976384228583e-01 8.671679197994985877e-02
-6.677700077651456123e-01 8.771929824561403022e-02
-6.629985178918684774e-01 8.771929824561403022e-02
-6.582270280185912315e-01 8.771929824561403022e-02
-6.534555381453139855e-01 8.671679197994985877e-02
-6.486840482720367396e-01 8.471177944862151588e-02
-6.439125583987596046e-01 8.170426065162905704e-02
-6.391410685254823587e-01 7.568922305764408387e-02
-6.343695786522051128e-01 2.000000000000000111e-01
-6.295980887789279778e-01 2.000000000000000111e-01
-6.248265989056507319e-01 2.000000000000000111e-01
-6.200551090323734860e-01 2.000000000000000111e-01
-6.152836191590963510e-01 1.453634085213031946e-02
-6.105121292858191051e-01 1.353383458646614801e-02
-6.057406394125418592e-01 1.253132832080200432e-02
-6.009691495392647242e-01 1.152882205513783287e-02
-5.961976596659874783e-01 1.052631578947366142e-02
-5.914261697927102324e-01 9.523809523809517730e-03
-5.866546799194330974e-01 8.521303258145346282e-03
-5.818831900461558515e-01 7.518796992481202590e-03
-5.771117001728786056e-01 5.513784461152859695e-03
-5.723402102996014706e-01 1.408521303258145063e-01
-5.675687204263242247e-01 1.398496240601503349e-01
-5.627972305530469788e-01 1.378446115288220475e-01
-5.580257406797697328e-01 1.378446115288220475e-01
-5.532542508064925979e-01 1.378446115288220475e-01
-5.484827609332153520e-01 1.378446115288220475e-01
-5.437112710599381060e-01 1.388471177944862189e-01
-5.389397811866609711e-01 1.408521303258145063e-01
-5.341682913133837252e-01 1.408521303258145063e-01
-5.293968014401064792e-01 1.408521303258145063e-01
-5.246253115668293443e-01 1.388471177944862189e-01
-5.198538216935520984e-01 1.879699248120300648e-01
-5.150823318202748524e-01 1.859649122807017219e-01
-5.103108419469977175e-01 1.829573934837092630e-01
-5.055393520737204716e-01 1.819548872180450916e-01
-5.007678622004432256e-01 1.809523809523809201e-01
-4.959963723271660352e-01 1.809523809523809201e-01
-4.912248824538888448e-01 1.809523809523809201e-01
-4.864533925806116543e-01 1.819548872180450916e-01
-4.816819027073344084e-01 1.819548872180450916e-01
-4.769104128340572180e-01 1.839598997493734345e-01
-4.721389229607799720e-01 -2.957393483709275239e-02
-4.673674330875027816e-01 -3.157894736842106753e-02
-4.625959432142255912e-01 -3.258145363408523898e-02
-4.578244533409483452e-01 -3.258145363408523898e-02
-4.530529634676711548e-01 -3.157894736842106753e-02
-4.482814735943939644e-01 -2.957393483709275239e-02
-4.435099837211167184e-01 -2.857142857142858094e-02
-4.387384938478395280e-01 -2.957393483709275239e-02
-4.339670039745623376e-01 -2.857142857142858094e-02
-4.291955141012850916e-01 -2.957393483709275239e-02
-4.244240242280079012e-01 -2.957393483709275239e-02
-4.196525343547306552e-01 -2.957393483709275239e-02
-4.148810444814534648e-01 -3.057644110275689608e-02
-4.101095546081762744e-01 -3.258145363408523898e-02
-4.053380647348990284e-01 -1.609022556390977687e-01
-4.005665748616218380e-01 -1.558897243107769670e-01
-3.957950849883446476e-01 -1.538847117794486241e-01
-3.910235951150674016e-01 -1.548872180451127956e-01
-3.862521052417902112e-01 -1.548872180451127956e-01
-3.814806153685130208e-01 -1.548872180451127956e-01
-3.767091254952357748e-01 -1.548872180451127956e-01
-3.719376356219585844e-01 -1.538847117794486241e-01
-3.671661457486813385e-01 -1.538847117794486241e-01
-3.623946558754041480e-01 -1.538847117794486241e-01
-3.576231660021269576e-01 -1.528822055137844804e-01
-3.528516761288497117e-01 -1.538847117794486241e-01
-3.480801862555725212e-01 -1.548872180451127956e-01
-3.433086963822953308e-01 -1.548872180451127956e-01
-3.385372065090180849e-01 -1.548872180451127956e-01
-3.337657166357408944e-01 -1.558897243107769670e-01
-3.289942267624636485e-01 -1.558897243107769670e-01
-3.242227368891864581e-01 -1.548872180451127956e-01
-3.194512470159092676e-01 -1.538847117794486241e-01
-3.146797571426320217e-01 6.566416040100248042e-02
-3.099082672693548313e-01 6.466165413533830897e-02
-3.051367773960776408e-01 6.365914786967419303e-02
-3.003652875228003949e-01 -1.488721804511278224e-01
-2.955937976495232045e-01 -1.478696741854636787e-01
-2.908223077762460140e-01 -1.468671679197995072e-01
-2.860508179029687681e-01 -1.448621553884711921e-01
-2.812793280296915777e-01 -1.418546365914787055e-01
-2.765078381564143317e-01 -7.568922305764412550e-02
-2.717363482831371413e-01 -7.669172932330828307e-02
-2.669648584098599509e-01 -7.669172932330828307e-02
-2.621933685365827049e-01 -7.568922305764412550e-02
-2.574218786633055145e-01 -7.468671679197996793e-02
-2.526503887900283241e-01 -7.568922305764412550e-02
-2.478788989167511059e-01 -7.568922305764412550e-02
-2.431074090434738877e-01 -7.669172932330828307e-02
-2.383359191701966695e-01 -7.769423558897244064e-02
-2.335644292969194513e-01 -7.669172932330828307e-02
-2.287929394236422609e-01 -7.568922305764412550e-02
-2.240214495503650427e-01 -7.568922305764412550e-02
-2.192499596770878245e-01 -7.568922305764412550e-02
-2.144784698038106063e-01 -7.568922305764412550e-02
-2.097069799305334159e-01 -7.568922305764412550e-02
-2.049354900572561977e-01 -7.568922305764412550e-02
-2.001640001839789795e-01 -7.568922305764412550e-02
-1.953925103107017891e-01 -7.568922305764412550e-02
-1.906210204374245709e-01 -7.669172932330828307e-02
-1.858495305641473527e-01 -7.669172932330828307e-02
-1.810780406908701345e-01 7.067669172932328214e-02
-1.763065508175929441e-01 6.967418546365911070e-02
-1.715350609443157259e-01 6.867167919799499476e-02
-1.667635710710385077e-01 6.867167919799499476e-02
-1.619920811977612896e-01 6.867167919799499476e-02
-1.572205913244840991e-01 6.867167919799499476e-02
-1.524491014512068809e-01 -4.260651629072684243e-02
-1.476776115779296628e-01 -4.260651629072684243e-02
-1.429061217046524723e-01 -4.260651629072684243e-02
-1.381346318313752541e-01 -4.260651629072684243e-02
-1.333631419580980360e-01 -4.260651629072684243e-02
-1.285916520848208178e-01 -4.360902255639098613e-02
-1.238201622115436135e-01 -4.461152882205515757e-02
-1.190486723382664092e-01 1.338345864661654172e-01
-1.142771824649891910e-01 1.328320802005012458e-01
-1.095056925917119867e-01 1.328320802005012458e-01
-1.047342027184347685e-01 1.328320802005012458e-01
-9.996271284515756417e-02 1.328320802005012458e-01
-9.519122297188034598e-02 1.318295739348370743e-01
-9.041973309860314167e-02 1.308270676691729029e-01
-8.564824322532593737e-02 1.288220551378446155e-01
-8.087675335204871918e-02 -1.127819548872180527e-01
-7.610526347877151487e-02 -1.127819548872180527e-01
-7.133377360549429669e-02 -1.127819548872180527e-01
-6.656228373221709238e-02 -1.127819548872180527e-01
-6.179079385893988113e-02 -1.137844611528822242e-01
-5.701930398566266989e-02 -1.117794486215538952e-01
-5.224781411238545864e-02 -1.107769423558897376e-01
-4.747632423910824739e-02 -1.117794486215538952e-01
-4.270483436583103615e-02 -1.127819548872180527e-01
-3.793334449255382490e-02 -1.137844611528822242e-01
-3.316185461927661365e-02 -1.147869674185463817e-01
-2.839036474599940241e-02 -1.137844611528822242e-01
-2.361887487272219116e-02 -1.137844611528822242e-01
-1.884738499944498338e-02 -1.147869674185463817e-01
-1.407589512616777214e-02 -1.147869674185463817e-01
-9.304405252890560890e-03 1.709273182957393167e-01
-4.532915379613350511e-03 1.709273182957393167e-01
2.385744936638605461e-04 1.699248120300751452e-01
5.010064366941071115e-03 1.769423558897242899e-01
9.781554240218282362e-03 1.799498746867167487e-01
1.455304411349549187e-02 1.799498746867167487e-01
1.932453398677270312e-02 1.799498746867167487e-01
2.409602386004991437e-02 1.799498746867167487e-01
2.886751373332712561e-02 1.789473684210526327e-01
3.363900360660433686e-02 1.799498746867167487e-01
3.841049347988154811e-02 1.809523809523809201e-01
4.318198335315875935e-02 1.799498746867167487e-01
4.795347322643597060e-02 1.799498746867167487e-01
5.272496309971317491e-02 1.809523809523809201e-01
5.749645297299038615e-02 1.799498746867167487e-01
6.226794284626759740e-02 1.799498746867167487e-01
6.703943271954480865e-02 1.799498746867167487e-01
7.181092259282202683e-02 1.799498746867167487e-01
7.658241246609923114e-02 1.789473684210526327e-01
8.135390233937643545e-02 1.779448621553884613e-01
8.612539221265365363e-02 1.759398496240601184e-01
9.089688208593085794e-02 1.729323308270676596e-01
9.566837195920807613e-02 -5.513784461152887451e-03
1.004398618324852804e-01 -5.513784461152887451e-03
1.052113517057624986e-01 -6.516290726817058898e-03
1.099828415790397029e-01 1.709273182957393167e-01
1.147543314523169211e-01 1.699248120300751452e-01
1.195258213255941254e-01 1.669172932330826864e-01
1.242973111988713436e-01 1.639097744360902276e-01
1.290688010721485479e-01 1.619047619047618847e-01
1.338402909454257661e-01 1.598997493734335418e-01
1.386117808187029565e-01 1.588972431077694258e-01
