# X align relalign posterior
-1.569581593814538545e+00 -1.537960610131456241e+00 -2.930078611753755835e-02 -1.302962789906788599e+00
-1.564810103941261188e+00 -1.531738940682161765e+00 -2.785060654152043957e-02 -1.344587917440679181e+00
-1.560038614067984053e+00 -1.525473871989453833e+00 -2.635702772208964317e-02 -1.357937895200086231e+00
-1.555267124194706918e+00 -1.519172994318425118e+00 -2.482763992433806299e-02 -1.350325136931683545e+00
-1.550495634321429561e+00 -1.512843851805140805e+00 -2.326998728433110619e-02 -1.337532803201117337e+00
-1.545724144448152426e+00 -1.506494826453650404e+00 -2.169245180611784063e-02 -1.337458934646372111e+00
-1.540952654574875291e+00 -1.500133847318777969e+00 -2.010296254452254017e-02 -1.363698340298513889e+00
-1.536181164701597934e+00 -1.493769532532172706e+00 -1.851013763119463418e-02 -1.421532455975518028e+00
-1.531409674828320799e+00 -1.487410593397738179e+00 -1.692268837003724213e-02 -1.506909343197150974e+00
-1.526638184955043664e+00 -1.481065680454521027e+00 -1.534926530009722567e-02 -1.607627199777535765e+00
-1.521866695081766307e+00 -1.474743692055285660e+00 -1.379876677413921504e-02 -1.705898019541966626e+00
-1.517095205208489173e+00 -1.468453780511616458e+00 -1.228034510374714783e-02 -1.781998090262792989e+00
-1.512323715335211816e+00 -1.462204803282778132e+00 -1.080285774818617872e-02 -1.818524401784767708e+00
-1.507552225461934681e+00 -1.456006066574557778e+00 -9.375610913242959921e-03 -1.804038783164121806e+00
-1.502780735588657546e+00 -1.449866495422305501e+00 -8.007529634267818164e-03 -1.734948273099789606e+00
-1.498009245715380189e+00 -1.443795254529764760e+00 -6.707778615004433842e-03 -1.615457588669004796e+00
-1.493237755842103054e+00 -1.437801309425065899e+00 -5.485323383582707546e-03 -1.456335780240154421e+00
-1.488466265968825919e+00 -1.431893458562289778e+00 -4.348962394083721872e-03 -1.273096072010702295e+00
-1.483694776095548562e+00 -1.426080575683908558e+00 -3.307569388979858527e-03 -1.083441014575630579e+00
-1.478923286222271427e+00 -1.420371112570876893e+00 -2.369596149225328130e-03 -9.037425357320265640e-01
-1.474151796348994292e+00 -1.414773678423593584e+00 -1.543651875219154146e-03 -7.452678216136421341e-01
-1.469380306475716935e+00 -1.409296247852711348e+00 -8.377111776142753818e-04 -6.116233320945304586e-01
-1.464608816602439800e+00 -1.403946798585192113e+00 -2.597517833721751934e-04 -4.988114432155552058e-01
-1.459837326729162665e+00 -1.398732983851028289e+00 1.825730775145140150e-04 -3.979523096523530645e-01
-1.455065836855885308e+00 -1.393661935844507260e+00 4.821312107581854356e-04 -2.994688615804451115e-01
-1.450294346982608173e+00 -1.388740708575629368e+00 6.318686063589429303e-04 -1.969545860837137452e-01
-1.445522857109331039e+00 -1.383975824410573319e+00 6.252628981378571815e-04 -8.928675167608923768e-02
-1.440751367236053682e+00 -1.379373340606103282e+00 4.562568293305369060e-04 1.943078806241471668e-02
-1.435979877362776547e+00 -1.374938982293840484e+00 1.191252683162002945e-04 1.216576519548031587e-01
-1.431208387489499412e+00 -1.370677955036515128e+00 -3.913373476355785918e-04 2.089869793578364998e-01
-1.426436897616222055e+00 -1.366594994342381630e+00 -1.079866526779438285e-03 2.745113604166292687e-01
-1.421665407742944920e+00 -1.362694294783780125e+00 -1.950656841455067347e-03 3.143329465641392373e-01
-1.416893917869667785e+00 -1.358979464179976837e+00 -3.007316110928914821e-03 3.280255441415060869e-01
-1.412122427996390428e+00 -1.355453659542900757e+00 -4.253001347130191956e-03 3.181903656324904794e-01
-1.407350938123113293e+00 -1.352119410123662657e+00 -5.690241801169226843e-03 2.895066541435271645e-01
-1.402579448249836158e+00 -1.348978522955135873e+00 -7.320844505919577028e-03 2.476235667216099001e-01
-1.397807958376558801e+00 -1.346032440537928254e+00 -9.146251961989315671e-03 1.981895651986814721e-01
-1.393036468503281666e+00 -1.343281860366356550e+00 -1.116716166369474683e-02 1.461742370257634871e-01
-1.388264978630004531e+00 -1.340726624079409568e+00 -1.338341525002489929e-02 9.547635136827714586e-02
-1.383493488756727174e+00 -1.338366375366667027e+00 -1.579465641055971536e-02 4.883412681193244342e-02
-1.378721998883450039e+00 -1.336199670192332212e+00 -1.839944110950203493e-02 7.881267752684606442e-03
-1.373950509010172905e+00 -1.334224707489914064e+00 -2.119596828036102165e-02 -2.665910983476493801e-02
-1.369179019136895548e+00 -1.332438842027835690e+00 -2.418159269156000546e-02 -5.475815536327566235e-02
-1.364407529263618413e+00 -1.330838779370230984e+00 -2.735301990723243426e-02 -7.685624717610461953e-02
-1.359636039390341278e+00 -1.329420713320421665e+00 -3.070644373070025024e-02 -9.367282397787324300e-02
-1.354864549517063921e+00 -1.328180070229812992e+00 -3.423729051336893425e-02 -1.060555598982448888e-01
-1.350093059643786786e+00 -1.327111541455750388e+00 -3.794025161258346435e-02 -1.148690480249842105e-01
-1.345321569770509651e+00 -1.326209264793204001e+00 -4.180946482331421299e-02 -1.209241956478663838e-01
-1.340550079897232294e+00 -1.325466811997260352e+00 -4.583850190064792107e-02 -1.249275673956934951e-01
-1.335778590023955159e+00 -1.324876919287080401e+00 -5.002009906374510484e-02 -1.274667865129110456e-01
-1.331007100150678024e+00 -1.324432002161026523e+00 -5.434667181096836108e-02 -1.290019991337289507e-01
-1.326235610277400667e+00 -1.324123552824792771e+00 -5.880971234801196657e-02 -1.298736492058593095e-01
-1.321464120404123532e+00 -1.323942844987144207e+00 -6.340049438364053769e-02 -1.303118232959606382e-01
-1.316692630530846175e+00 -1.323880333995286485e+00 -6.810947326506017196e-02 -1.304500623264642223e-01
-1.311921140657569040e+00 -1.323925951342205254e+00 -7.292658048525607617e-02 -1.303495083150880696e-01
-1.307149650784291905e+00 -1.324069276058533529e+00 -7.784139507486148579e-02 -1.300113490776834135e-01
-1.302378160911014549e+00 -1.324299363509206851e+00 -8.284297239881216468e-02 -1.293968594327876698e-01
-1.297606671037737414e+00 -1.324604750465062653e+00 -8.791984922794510160e-02 -1.284454066463345812e-01
-1.292835181164460279e+00 -1.324973594112946129e+00 -9.306018274910571320e-02 -1.270898488724305775e-01
-1.288063691291182922e+00 -1.325393710758006494e+00 -9.825178926744343455e-02 -1.252732143011661692e-01
-1.283292201417905787e+00 -1.325852456598130891e+00 -1.034820249808449666e-01 -1.229596588998053130e-01
-1.278520711544628652e+00 -1.326336939713212981e+00 -1.087379979692041920e-01 -1.201466222748671098e-01
-1.273749221671351295e+00 -1.326833938289781356e+00 -1.140064864190499239e-01 -1.168694383304437756e-01
-1.268977731798074160e+00 -1.327330077328979341e+00 -1.192741153315250435e-01 -1.132102075837068123e-01
-1.264206241924797025e+00 -1.327811796971412051e+00 -1.245273248472348881e-01 -1.092905638814626879e-01
-1.259434752051519668e+00 -1.328265155249814811e+00 -1.297521729989150052e-01 -1.052786356328188622e-01
-1.254663262178242533e+00 -1.328676322173024449e+00 -1.349348297954017784e-01 -1.013730903658437987e-01
-1.249891772304965398e+00 -1.329031103462648300e+00 -1.400611009583027644e-01 -9.780307561785850368e-02
-1.245120282431688041e+00 -1.329315659730595511e+00 -1.451171470995273327e-01 -9.480826360148592036e-02
-1.240348792558410906e+00 -1.329515869015326812e+00 -1.500888462575357685e-01 -9.263133479396579162e-02
-1.235577302685133771e+00 -1.329617639885980029e+00 -1.549621070014661206e-01 -9.150301373444003072e-02
-1.230805812811856415e+00 -1.329607134953364689e+00 -1.597230919421281370e-01 -9.161996015009576944e-02
-1.226034322938579280e+00 -1.329470490243994885e+00 -1.643579371060354677e-01 -9.312947555112177644e-02
-1.221262833065302145e+00 -1.329194052242040458e+00 -1.688529889773581760e-01 -9.610272828704718995e-02
-1.216491343192024788e+00 -1.328764473189546047e+00 -1.731948997981411220e-01 -1.005034625914358881e-01
-1.211719853318747653e+00 -1.328168520183734991e+00 -1.773704366656072007e-01 -1.061594490606414531e-01
-1.206948363445470518e+00 -1.327393316661092948e+00 -1.813667230162422928e-01 -1.127157818364352693e-01
-1.202176873572193161e+00 -1.326426433408067984e+00 -1.851713296364946859e-01 -1.195852736429541818e-01
-1.197405383698916026e+00 -1.325255473897814174e+00 -1.887718599995180102e-01 -1.259029800824696954e-01
-1.192633893825638891e+00 -1.323868952471687788e+00 -1.921568284466687593e-01 -1.304744190581066943e-01
-1.187862403952361534e+00 -1.322255526367158485e+00 -1.953148922154168132e-01 -1.317548881188872478e-01
-1.183090914079084399e+00 -1.320404385602636399e+00 -1.982352413241718625e-01 -1.278504830644185408e-01
-1.178319424205807264e+00 -1.318305129238707130e+00 -2.009074748335197280e-01 -1.165934858975942179e-01
-1.173547934332529907e+00 -1.315948217937167097e+00 -2.033220534052570527e-01 -9.570197513360639840e-02
-1.168776444459252772e+00 -1.313324521744518858e+00 -2.054698470858859483e-01 -6.306262923310518298e-02
-1.164004954585975637e+00 -1.310425550509069392e+00 -2.073423657237136175e-01 -1.714657544295050684e-02
-1.159233464712698281e+00 -1.307243496889749279e+00 -2.089318019776708613e-01 4.244374551869889434e-02
-1.154461974839421146e+00 -1.303771096896512383e+00 -2.102308918577110997e-01 1.143497721050728000e-01
-1.149690484966144011e+00 -1.300002033570779147e+00 -2.112333184052549995e-01 1.948210386722846188e-01
-1.144918995092866654e+00 -1.295930674441883923e+00 -2.119334491496371320e-01 2.772290101394830897e-01
-1.140147505219589519e+00 -1.291551960169590174e+00 -2.123262247506205180e-01 3.518858676069998026e-01
-1.135376015346312384e+00 -1.286861762493545891e+00 -2.124075169478533698e-01 4.063529316875810204e-01
-1.130604525473035027e+00 -1.281856668851876435e+00 -2.121739131794612709e-01 4.265607478936613850e-01
-1.125833035599757892e+00 -1.276534105759774329e+00 -2.116228399606362998e-01 3.990684766661307670e-01
-1.121061545726480757e+00 -1.270892460297943449e+00 -2.107526843720825549e-01 3.147568675157307316e-01
-1.116290055853203400e+00 -1.264930548043850189e+00 -2.095622619912666518e-01 1.736306614662502801e-01
-1.111518565979926265e+00 -1.258648454938047667e+00 -2.080516587587412647e-01 -1.082252669898464692e-02
-1.106747076106648908e+00 -1.252046879928008449e+00 -2.062215736219794038e-01 -2.108579683641534364e-01
-1.101975586233371773e+00 -1.245127440377547856e+00 -2.040736239447959455e-01 -3.902660848542182093e-01
-1.097204096360094638e+00 -1.237892533178472476e+00 -2.016102066189977005e-01 -5.161608619573668788e-01
-1.092432606486817281e+00 -1.230345319121686876e+00 -1.988344824354894569e-01 -5.697763526004019363e-01
-1.087661116613540147e+00 -1.222490068123140539e+00 -1.957507213102202548e-01 -5.467007740655083214e-01
-1.082889626740263012e+00 -1.214331519471667287e+00 -1.923636625320241378e-01 -4.458097004624200221e-01
-1.078118136866985655e+00 -1.205875633467665686e+00 -1.886792664012998944e-01 -2.618466959627523960e-01
-1.073346646993708520e+00 -1.197128779971554646e+00 -1.847039027784659893e-01 2.500648331646204703e-03
-1.068575157120431385e+00 -1.188098309804037411e+00 -1.804449224842258892e-01 3.144351594230455627e-01
-1.063803667247154028e+00 -1.178792370067186956e+00 -1.759104726206527913e-01 6.105626552298383247e-01
-1.059032177373876893e+00 -1.169219705183728975e+00 -1.711092976104719443e-01 8.303965419347970611e-01
-1.054260687500599758e+00 -1.159389973371292237e+00 -1.660510556713123420e-01 9.532524786489268154e-01
-1.049489197627322401e+00 -1.149313363188906756e+00 -1.607459353622042175e-01 1.001370919651723757e+00
-1.044717707754045266e+00 -1.139000853322245987e+00 -1.552049153688205840e-01 1.009748106964788228e+00
-1.039946217880768131e+00 -1.128464140517686065e+00 -1.494396924375377966e-01 9.883204837579492308e-01
-1.035174728007490774e+00 -1.117715204829385467e+00 -1.434622466225145554e-01 9.057767015631602581e-01
-1.030403238134213639e+00 -1.106766939045141562e+00 -1.372854707115477857e-01 7.390239281413965022e-01
-1.025631748260936504e+00 -1.095632702671918590e+00 -1.309227242116019485e-01 5.686473935773009858e-01
-1.020860258387659147e+00 -1.084326279201403231e+00 -1.243877906143639467e-01 5.617056433412234151e-01
-1.016088768514382012e+00 -1.072862065187333513e+00 -1.176950664735713636e-01 7.895425733616779906e-01
-1.011317278641104878e+00 -1.061254632714999646e+00 -1.108591238745146312e-01 1.129874491296174011e+00
-1.006545788767827521e+00 -1.049519346179124568e+00 -1.038953272119169102e-01 1.404954150402384361e+00
-1.001774298894550386e+00 -1.037671533581540739e+00 -9.681900448761021627e-02 1.526063778994014353e+00
-9.970028090212731398e-01 -1.025727125562494235e+00 -8.964608634184095814e-02 1.499662663784519623e+00
-9.922313191479960048e-01 -1.013702046227640263e+00 -8.239249688026412111e-02 1.433656190253363771e+00
-9.874598292747187589e-01 -1.001612675926187856e+00 -7.507461645208896028e-02 1.500554314530031075e+00
-9.826883394014415130e-01 -9.894754525882394347e-01 -6.770888298741778444e-02 1.747299517385892731e+00
-9.779168495281643780e-01 -9.773069663341010793e-01 -6.031188660655656397e-02 2.010298658878063360e+00
-9.731453596548871321e-01 -9.651238786588427487e-01 -5.290028880457547933e-02 2.098245669928320734e+00
-9.683738697816098862e-01 -9.529429492334940965e-01 -4.549084925250407307e-02 1.938584324848462881e+00
-9.636023799083326402e-01 -9.407808887361756023e-01 -3.810027862846282476e-02 1.530439257847574730e+00
-9.588308900350555053e-01 -9.286543107778181261e-01 -3.074519054338248347e-02 9.278061202747497349e-01
-9.540594001617782594e-01 -9.165798139130865163e-01 -2.344218355192811964e-02 3.057557900897328595e-01
-9.492879102885010134e-01 -9.045737289447570717e-01 -1.620758845687592098e-02 -8.378677341729862116e-02
-9.445164204152238785e-01 -8.926523847282067381e-01 -9.057734113602722292e-03 -9.814984074030286276e-02
-9.397449305419466326e-01 -8.808316186791272928e-01 -2.008457937800522952e-03 1.547086646992763548e-01
-9.349734406686693866e-01 -8.691272039802090399e-01 4.924466887840484031e-03 4.009703932818802219e-01
-9.302019507953922517e-01 -8.575545544815890153e-01 1.172562651318337368e-02 4.586209714299144258e-01
-9.254304609221150058e-01 -8.461286638790419534e-01 1.838002724245318964e-02 3.775437747692139689e-01
-9.206589710488377598e-01 -8.348641077141701894e-01 2.487309353404770773e-02 3.335099102519717418e-01
-9.158874811755606249e-01 -8.237750552536281523e-01 3.119065612131260989e-02 4.687389410609473783e-01
-9.111159913022833789e-01 -8.128751982429184286e-01 3.731902325874508763e-02 8.177041940993138303e-01
-9.063445014290061330e-01 -8.021776478352896644e-01 4.324508379309660588e-02 1.283910110704769902e+00
-9.015730115557289981e-01 -7.916951684470723283e-01 4.895607330803680712e-02 1.675338963608157705e+00
-8.968015216824517521e-01 -7.814396600092472500e-01 5.444009187258463944e-02 1.822823003080471072e+00
-8.920300318091745062e-01 -7.714225024299016242e-01 5.968575957865301929e-02 1.702393009272150426e+00
-8.872585419358973713e-01 -7.616545045324046859e-01 6.468226760287282273e-02 1.454340233075917865e+00
-8.824870520626201253e-01 -7.521457371652213730e-01 6.941954509677888963e-02 1.280886369037762762e+00
-8.777155621893428794e-01 -7.429056092980163006e-01 7.388818309070671608e-02 1.307785488343211622e+00
-8.729440723160657445e-01 -7.339428037593038745e-01 7.807949875614200730e-02 1.518458848345219270e+00
-8.681725824427884985e-01 -7.252651845156623533e-01 8.198562812650628251e-02 1.794708042686955274e+00
-8.634010925695112526e-01 -7.168798484192677734e-01 8.559947434962361656e-02 2.007257589638826278e+00
-8.586296026962340067e-01 -7.087933290118937357e-01 8.891450388372040825e-02 2.080110083198067006e+00
-8.538581128229568717e-01 -7.010110685131178965e-01 9.192527450921911258e-02 2.000937177094324060e+00
-8.490866229496796258e-01 -6.935379573796478514e-01 9.462689576941191172e-02 1.800277024745598808e+00
-8.443151330764023799e-01 -6.863778640915498830e-01 9.701549918423263419e-02 1.531024569300192262e+00
-8.395436432031252449e-01 -6.795339520995505866e-01 9.908792130295479561e-02 1.256768095009061614e+00
-8.347721533298479990e-01 -6.730085239146514908e-01 1.008418596145766455e-01 1.039784182533083357e+00
-8.300006634565707531e-01 -6.668032222345275928e-01 1.022756714214232976e-01 9.240068513914992954e-01
-8.252291735832936181e-01 -6.609184637141231056e-01 1.033889400685506499e-01 9.208043730833547214e-01
-8.204576837100163722e-01 -6.553542535466916341e-01 1.041816603627048754e-01 1.007706794676152207e+00
-8.156861938367391263e-01 -6.501095314538110070e-01 1.046548925823082565e-01 1.141146444864314713e+00
-8.109147039634619913e-01 -6.451824883398720178e-01 1.048104458229701108e-01 1.275126410941865185e+00
-8.061432140901847454e-01 -6.405706299856329666e-01 1.046508143039319161e-01 1.376032960030625141e+00
-8.013717242169074995e-01 -6.362705102080929986e-01 1.041794442081946381e-01 1.428600631508931240e+00
-7.966002343436303645e-01 -6.322778851547881107e-01 1.034005793882223911e-01 1.433813051015855322e+00
-7.918287444703531186e-01 -6.285878952952123067e-01 1.023190793745209493e-01 1.402657743806119406e+00
-7.870572545970758727e-01 -6.251948856355677986e-01 1.009405991608882114e-01 1.349577406697039184e+00
-7.822857647237987377e-01 -6.220924763205527563e-01 9.927151860262611871e-02 1.287805106971497526e+00
-7.775142748505214918e-01 -6.192735510852116487e-01 9.731895396468998038e-02 1.227083780900773302e+00
-7.727427849772442459e-01 -6.167302690376856855e-01 9.509074613893869765e-02 1.173249455174437905e+00
-7.679712951039671109e-01 -6.144542656813265502e-01 9.259525962202069804e-02 1.128877316199681236e+00
-7.631998052306898650e-01 -6.124365723620268653e-01 8.984146306804313697e-02 1.094285876259905255e+00
-7.584283153574126191e-01 -6.106674141757080232e-01 8.683913138108473317e-02 1.068496594212934081e+00
-7.536568254841353731e-01 -6.091366842439259743e-01 8.359837143958953609e-02 1.049971827758600096e+00
-7.488853356108582382e-01 -6.078336715153771497e-01 8.012989429486122583e-02 1.037080184762960489e+00
-7.441138457375809923e-01 -6.067470849390907972e-01 7.644499099787033236e-02 1.028354512419482170e+00
-7.393423558643037463e-01 -6.058652055584062834e-01 7.255538050527760019e-02 1.022597085487685131e+00
-7.345708659910266114e-01 -6.051760217065943470e-01 6.847307448381240169e-02 1.018897454681870318e+00
-7.297993761177493655e-01 -6.046669377928319822e-01 6.421066852429752059e-02 1.016599011994084645e+00
-7.250278862444721195e-01 -6.043250886587488990e-01 5.978102778510335780e-02 1.015256423257509422e+00
-7.202563963711949846e-01 -6.041373552699889071e-01 5.519727130058621478e-02 1.014586288571093675e+00
-7.154849064979177387e-01 -6.040901703158895186e-01 5.047296638140835734e-02 1.014425016997639872e+00
-7.107134166246404927e-01 -6.041698538245723338e-01 4.562179299944829625e-02 1.014698671618733616e+00
-7.059419267513633578e-01 -6.043625522033483355e-01 4.065760474739515962e-02 1.015396014837922856e+00
-7.011704368780861119e-01 -6.046541621416247070e-01 3.559450493584154218e-02 1.016545918017931704e+00
-6.963989470048088659e-01 -6.050304629670069101e-01 3.044671423718209313e-02 1.018203047495202629e+00
-6.916274571315317310e-01 -6.054771780001663162e-01 2.522850933074555213e-02 1.020429409688075495e+00
-6.868559672582544851e-01 -6.059799541228433339e-01 1.995424333479128842e-02 1.023280227033613432e+00
-6.820844773849772391e-01 -6.065245652827039313e-01 1.463814230165344510e-02 1.026790986320634591e+00
-6.773129875117001042e-01 -6.070966191164609560e-01 9.294598594619285503e-03 1.030962394685996042e+00
