# X align relalign posterior
-1.731812249505963575e+00 -1.704284136475403777e+00 2.752811303055979764e-02 -2.277988251045476531e+00
-1.727040759632686440e+00 -1.699256482354784881e+00 2.778427727790155899e-02 -2.234042758143291341e+00
-1.722269269759409083e+00 -1.694213567107923923e+00 2.805570265148515929e-02 -2.205375666318818872e+00
-1.717497779886131948e+00 -1.689156555651651903e+00 2.834122423448004469e-02 -2.190606681715894677e+00
-1.712726290012854813e+00 -1.684086124479206026e+00 2.864016553364878703e-02 -2.186403048298406482e+00
-1.707954800139577456e+00 -1.679003445138012474e+00 2.895135500156498232e-02 -2.189227450075147630e+00
-1.703183310266300321e+00 -1.673909713056528581e+00 2.927359720977174007e-02 -2.195843261738572139e+00
-1.698411820393023186e+00 -1.668806123929308383e+00 2.960569646371480346e-02 -2.202650168541760767e+00
-1.693640330519745829e+00 -1.663693813433984925e+00 2.994651708576090421e-02 -2.204790704356275555e+00
-1.688868840646468694e+00 -1.658573899577619137e+00 3.029494106884955684e-02 -2.196158234730853032e+00
-1.684097350773191559e+00 -1.653447915749180597e+00 3.064943502401096254e-02 -2.170836159179182268e+00
-1.679325860899914202e+00 -1.648317024072442738e+00 3.100883682747146430e-02 -2.125463389883160747e+00
-1.674554371026637067e+00 -1.643182613887847365e+00 3.137175713878970207e-02 -2.061282474220972105e+00
-1.669782881153359932e+00 -1.638045805975614000e+00 3.173707517774593256e-02 -1.984646112832372467e+00
-1.665011391280082576e+00 -1.632908047205675395e+00 3.210334407440718074e-02 -1.905566863699276858e+00
-1.660239901406805441e+00 -1.627770554077846432e+00 3.246934732895900844e-02 -1.834891348544806178e+00
-1.655468411533528306e+00 -1.622634479543303421e+00 3.283393199022488496e-02 -1.781403972924265666e+00
-1.650696921660250949e+00 -1.617501019195281220e+00 3.319590246496972874e-02 -1.750056866177081005e+00
-1.645925431786973814e+00 -1.612371463356496504e+00 3.355396843047731004e-02 -1.741829077796668290e+00
-1.641153941913696679e+00 -1.607246662737636722e+00 3.390727917605995678e-02 -1.754834110958064741e+00
-1.636382452040419322e+00 -1.602127863335717883e+00 3.425458870470143857e-02 -1.785761618399066109e+00
-1.631610962167142187e+00 -1.597015810137656366e+00 3.459515202948582058e-02 -1.830799414112460610e+00
-1.626839472293865052e+00 -1.591911320517524819e+00 3.492815177634023271e-02 -1.885717848986764533e+00
-1.622067982420587695e+00 -1.586815343597912431e+00 3.525263882267526405e-02 -1.945435574583151084e+00
-1.617296492547310560e+00 -1.581728422686999647e+00 3.556806986031091355e-02 -2.003688543723326720e+00
-1.612525002674033425e+00 -1.576651037929822863e+00 3.587396474421056247e-02 -2.053290670589096312e+00
-1.607753512800756068e+00 -1.571583877198168056e+00 3.616963560258801280e-02 -2.087080846018062541e+00
-1.602982022927478933e+00 -1.566527072859364544e+00 3.645495006811438898e-02 -2.099201614427261831e+00
-1.598210533054201798e+00 -1.561480957022056248e+00 3.672957603214555000e-02 -2.086176957395679210e+00
-1.593439043180924442e+00 -1.556445591254423055e+00 3.699345192650138614e-02 -2.047376074712770055e+00
-1.588667553307647307e+00 -1.551420984847055928e+00 3.724656846059137827e-02 -1.984742863607134922e+00
-1.583896063434370172e+00 -1.546407039584679621e+00 3.748902384969055035e-02 -1.902043660149717041e+00
-1.579124573561092815e+00 -1.541403515510553435e+00 3.772105805053937999e-02 -1.804096351170858092e+00
-1.574353083687815680e+00 -1.536409948567298844e+00 3.794313512051683546e-02 -1.696435406178066874e+00
-1.569581593814538545e+00 -1.531425965911834775e+00 3.815562790270377036e-02 -1.585564105142674762e+00
-1.564810103941261188e+00 -1.526450794216498652e+00 3.835930972476253586e-02 -1.479482226741586803e+00
-1.560038614067984053e+00 -1.521483758897502758e+00 3.855485517048129473e-02 -1.387889502156525623e+00
-1.555267124194706918e+00 -1.516523934992330291e+00 3.874318920237662667e-02 -1.321383631708616502e+00
-1.550495634321429561e+00 -1.511570502929403093e+00 3.892513139202646855e-02 -1.289456209048069457e+00
-1.545724144448152426e+00 -1.506622303414735464e+00 3.910184103341696193e-02 -1.297749649344990708e+00
-1.540952654574875291e+00 -1.501678059290071143e+00 3.927459528480414797e-02 -1.345639686754711795e+00
-1.536181164701597934e+00 -1.496736443047373522e+00 3.944472165422441279e-02 -1.425240953748041939e+00
-1.531409674828320799e+00 -1.491796330498410761e+00 3.961334432991003851e-02 -1.522482674514236356e+00
-1.526638184955043664e+00 -1.486855979107456038e+00 3.978220584758762612e-02 -1.620058832332130550e+00
-1.521866695081766307e+00 -1.481913864694621497e+00 3.995283038714481094e-02 -1.701179258321857457e+00
-1.517095205208489173e+00 -1.476968383175021771e+00 4.012682203346740195e-02 -1.752868357325605864e+00
-1.512323715335211816e+00 -1.472017816133552426e+00 4.030589920165938977e-02 -1.767772443410228878e+00
-1.507552225461934681e+00 -1.467060477322998047e+00 4.049174813893663405e-02 -1.744195853591784307e+00
-1.502780735588657546e+00 -1.462094390482148176e+00 4.068634510650936953e-02 -1.684843477877606688e+00
-1.498009245715380189e+00 -1.457117796207641147e+00 4.089144950773904164e-02 -1.595189108148968415e+00
-1.493237755842103054e+00 -1.452128874612516052e+00 4.110888122958700208e-02 -1.482246298603305590e+00
-1.488466265968825919e+00 -1.447125624957905643e+00 4.134064101092027599e-02 -1.354069168578618587e+00
-1.483694776095548562e+00 -1.442106221604948502e+00 4.158855449060006038e-02 -1.219731179144298849e+00
-1.478923286222271427e+00 -1.437068627026418577e+00 4.185465919585285022e-02 -1.089119309642819999e+00
-1.474151796348994292e+00 -1.432011035130624776e+00 4.214076121836951572e-02 -9.719996604820060337e-01
-1.469380306475716935e+00 -1.426931478264282793e+00 4.244882821143414198e-02 -8.761652639591412939e-01
-1.464608816602439800e+00 -1.421828285090645627e+00 4.278053151179417313e-02 -8.051334044599729456e-01
-1.459837326729162665e+00 -1.416699484857840030e+00 4.313784187132263526e-02 -7.562843719415934807e-01
-1.455065836855885308e+00 -1.411543370081141502e+00 4.352246677474380654e-02 -7.204798315267961772e-01
-1.450294346982608173e+00 -1.406358297657435141e+00 4.393604932517303219e-02 -6.837243621572332009e-01
-1.445522857109331039e+00 -1.401142656142890797e+00 4.438020096644024193e-02 -6.307339442023256471e-01
-1.440751367236053682e+00 -1.395894928747783093e+00 4.485643848827058910e-02 -5.494287077470674241e-01
-1.435979877362776547e+00 -1.390613637837979644e+00 4.536623952479690303e-02 -4.348955190090569856e-01
-1.431208387489499412e+00 -1.385297597715262174e+00 4.591078977423723728e-02 -2.914424033182589913e-01
-1.426436897616222055e+00 -1.379945488554426225e+00 4.649140906179582977e-02 -1.320157194146697188e-01
-1.421665407742944920e+00 -1.374556271060909385e+00 4.710913668203553506e-02 2.476554716666701239e-02
-1.416893917869667785e+00 -1.369129098660815558e+00 4.776481920885222721e-02 1.588919555831769248e-01
-1.412122427996390428e+00 -1.363663142896401670e+00 4.845928509998875811e-02 2.531745330238757141e-01
-1.407350938123113293e+00 -1.358157679498648296e+00 4.919325862446499720e-02 2.962948975116412864e-01
-1.402579448249836158e+00 -1.352612280956937862e+00 4.996716729289829573e-02 2.844690576596273779e-01
-1.397807958376558801e+00 -1.347026645548585755e+00 5.078131282797304635e-02 2.221447926868644895e-01
-1.393036468503281666e+00 -1.341400672788511939e+00 5.163579571476972774e-02 1.222441215602778630e-01
-1.388264978630004531e+00 -1.335734291271791774e+00 5.253068735821275759e-02 5.782774524712763764e-03
-1.383493488756727174e+00 -1.330027757929230559e+00 5.346573082749661587e-02 -1.001206947484213350e-01
-1.378721998883450039e+00 -1.324281514894736000e+00 5.444048398871403904e-02 -1.670032688517584796e-01
-1.373950509010172905e+00 -1.318496092884440252e+00 5.545441612573265289e-02 -1.725575222809928588e-01
-1.369179019136895548e+00 -1.312672316289992036e+00 5.650670284690351153e-02 -1.088672928784581440e-01
-1.364407529263618413e+00 -1.306810991272645994e+00 5.759653799097241844e-02 1.223579014426112721e-02
-1.359636039390341278e+00 -1.300913488675409457e+00 5.872255071493182044e-02 1.600856655960781749e-01
-1.354864549517063921e+00 -1.294981053804787230e+00 5.988349571227669088e-02 2.934444681952202982e-01
-1.350093059643786786e+00 -1.289015272240823906e+00 6.107778740296287978e-02 3.735516394748628066e-01
-1.345321569770509651e+00 -1.283017850944416116e+00 6.230371882609353484e-02 3.767614924340677574e-01
-1.340550079897232294e+00 -1.276990725750770661e+00 6.355935414646163295e-02 3.013328521114263525e-01
-1.335778590023955159e+00 -1.270935899171591776e+00 6.484269085236338270e-02 1.655926439696380204e-01
-1.331007100150678024e+00 -1.264855822004888664e+00 6.615127814578936061e-02 -1.056890151379219489e-03
-1.326235610277400667e+00 -1.258752781703615264e+00 6.748282857378540278e-02 -1.693636800838181355e-01
-1.321464120404123532e+00 -1.252629619682198214e+00 6.883450072192531799e-02 -3.179887573028217229e-01
-1.316692630530846175e+00 -1.246488937154121901e+00 7.020369337672427434e-02 -4.347903022661204764e-01
-1.311921140657569040e+00 -1.240333820991686098e+00 7.158731966588294249e-02 -5.127314366108102206e-01
-1.307149650784291905e+00 -1.234167207572673508e+00 7.298244321161839743e-02 -5.447496853299185204e-01
-1.302378160911014549e+00 -1.227992445465910354e+00 7.438571544510419464e-02 -5.218708500193326438e-01
-1.297606671037737414e+00 -1.221812911921603240e+00 7.579375911613417394e-02 -4.363192715603540495e-01
-1.292835181164460279e+00 -1.215632024674293543e+00 7.720315649016673554e-02 -2.879945440923030731e-01
-1.288063691291182922e+00 -1.209453494473472945e+00 7.861019681770997636e-02 -9.071771955479984717e-02
-1.283292201417905787e+00 -1.203280815616345922e+00 8.001138580155986446e-02 1.256245892345920767e-01
-1.278520711544628652e+00 -1.197117920497016152e+00 8.140279104761249940e-02 3.193145491931463908e-01
-1.273749221671351295e+00 -1.190968587503240306e+00 8.278063416811098918e-02 4.473049551485198672e-01
-1.268977731798074160e+00 -1.184836802691409785e+00 8.414092910666437497e-02 4.787699054802708742e-01
-1.264206241924797025e+00 -1.178726423729629769e+00 8.547981819516725643e-02 4.065461631254940755e-01
-1.259434752051519668e+00 -1.172641463310327259e+00 8.679328874119240922e-02 2.514083755279226118e-01
-1.254663262178242533e+00 -1.166585984550155830e+00 8.807727762808670313e-02 5.690258793806080018e-02
-1.249891772304965398e+00 -1.160563968650917266e+00 8.932780365404813239e-02 -1.235116495215298205e-01
-1.245120282431688041e+00 -1.154579527686537599e+00 9.054075474515044242e-02 -2.419606415823826184e-01
-1.240348792558410906e+00 -1.148636613836411025e+00 9.171217872199988186e-02 -2.685376533187852077e-01
-1.235577302685133771e+00 -1.142739041647216514e+00 9.283826103791725792e-02 -1.967171251567323420e-01
-1.230805812811856415e+00 -1.136890911969650864e+00 9.391490084220555090e-02 -4.139503920656317781e-02
-1.226034322938579280e+00 -1.131096044865581796e+00 9.493827807299748400e-02 1.679990352865495806e-01
-1.221262833065302145e+00 -1.125358193337532731e+00 9.590463972776941404e-02 3.958534991388442670e-01
-1.216491343192024788e+00 -1.119681061640814157e+00 9.681028155121063072e-02 6.076969842582061743e-01
-1.211719853318747653e+00 -1.114068129652707073e+00 9.765172366604057963e-02 7.757646654816864329e-01
-1.206948363445470518e+00 -1.108523043208617276e+00 9.842532023685324205e-02 8.830823281699243799e-01
