# X align relalign posterior
-1.397807958376558801e+00 -1.347829881527482287e+00 4.997807684907651371e-02 2.294780928410952159e-01
-1.393036468503281666e+00 -1.343657019278278186e+00 4.937944922500348000e-02 1.553002671634200471e-01
-1.388264978630004531e+00 -1.339561122444174357e+00 4.870385618583017440e-02 7.302572575258992060e-02
-1.383493488756727174e+00 -1.335542413569158038e+00 4.795107518756913656e-02 -5.269869776450497589e-03
-1.378721998883450039e+00 -1.331600763303650403e+00 4.712123557979963628e-02 -6.884056586596998262e-02
-1.373950509010172905e+00 -1.327735895773572761e+00 4.621461323660014386e-02 -1.095833337769377414e-01
-1.369179019136895548e+00 -1.323947212262579498e+00 4.523180687431604952e-02 -1.228914674313781319e-01
-1.364407529263618413e+00 -1.320233725602042218e+00 4.417380366157619420e-02 -1.079599500648499855e-01
-1.359636039390341278e+00 -1.316594406383993832e+00 4.304163300634744616e-02 -6.754793400676123438e-02
-1.354864549517063921e+00 -1.313027866463857718e+00 4.183668305320620284e-02 -7.284749092889231115e-03
-1.350093059643786786e+00 -1.309532445637976883e+00 4.056061400580990295e-02 6.532316870665400010e-02
-1.345321569770509651e+00 -1.306106241143444535e+00 3.921532862706511580e-02 1.420041451359065343e-01
-1.340550079897232294e+00 -1.302747017053529355e+00 3.780306284370293923e-02 2.147779944600708424e-01
-1.335778590023955159e+00 -1.299452395697668461e+00 3.632619432628669820e-02 2.768112685597651224e-01
-1.331007100150678024e+00 -1.296219867948123827e+00 3.478723220255419690e-02 3.229991461562887745e-01
-1.326235610277400667e+00 -1.293046336194943580e+00 3.318927408245708754e-02 3.502443595893512951e-01
-1.321464120404123532e+00 -1.289928762492086323e+00 3.153535791203720962e-02 3.574363815284613555e-01
-1.316692630530846175e+00 -1.286863894608834880e+00 2.982873592201129576e-02 3.452207283370615221e-01
-1.311921140657569040e+00 -1.283847923780001787e+00 2.807321687756725304e-02 3.156062083133556184e-01
-1.307149650784291905e+00 -1.280877303341592111e+00 2.627234744269979494e-02 2.715189061258340697e-01
-1.302378160911014549e+00 -1.277947886342885475e+00 2.443027456812907339e-02 2.163393581209510641e-01
-1.297606671037737414e+00 -1.275055627069580089e+00 2.255104396815732493e-02 1.535116122325655974e-01
-1.292835181164460279e+00 -1.272196150398901437e+00 2.063903076555884120e-02 8.622670429881429399e-02
-1.288063691291182922e+00 -1.269364869883165658e+00 1.869882140801726322e-02 1.721317898267882285e-02
-1.283292201417905787e+00 -1.266557178709276199e+00 1.673502270862958774e-02 -5.136460989836921787e-02
-1.278520711544628652e+00 -1.263768274609312403e+00 1.475243693531624878e-02 -1.179287034493133879e-01
-1.273749221671351295e+00 -1.260993331622805247e+00 1.275589004854604802e-02 -1.814265745803121388e-01
-1.268977731798074160e+00 -1.258227217134854525e+00 1.075051466321963467e-02 -2.412331788300740021e-01
-1.264206241924797025e+00 -1.255464771808456614e+00 8.741470116340410712e-03 -2.970048873928311517e-01
-1.259434752051519668e+00 -1.252700929441030953e+00 6.733822610488715554e-03 -3.485339859624447811e-01
-1.254663262178242533e+00 -1.249930227390062099e+00 4.733034788180434660e-03 -3.956134337569269799e-01
-1.249891772304965398e+00 -1.247147458950564891e+00 2.744313354400507166e-03 -4.379055284172103102e-01
-1.245120282431688041e+00 -1.244347255247607364e+00 7.730271840806768324e-04 -4.748607243825662128e-01
-1.240348792558410906e+00 -1.241524177482209446e+00 -1.175384923798539205e-03 -5.056637074204600735e-01
-1.235577302685133771e+00 -1.238672918699919467e+00 -3.095616014785695924e-03 -5.292276106600296570e-01
-1.230805812811856415e+00 -1.235788118703963434e+00 -4.982305892107019574e-03 -5.442365383934494316e-01
-1.226034322938579280e+00 -1.232864423773808449e+00 -6.830100835229169220e-03 -5.492273778062406464e-01
-1.221262833065302145e+00 -1.229896490580816293e+00 -8.633657515514148173e-03 -5.427125917680164502e-01
-1.216491343192024788e+00 -1.226879152725074196e+00 -1.038780953304940802e-02 -5.233236832163805641e-01
-1.211719853318747653e+00 -1.223807277366311119e+00 -1.208742404756346644e-02 -4.899732275254432556e-01
-1.206948363445470518e+00 -1.220675803804046833e+00 -1.372744035857631495e-02 -4.420077921414144462e-01
-1.202176873572193161e+00 -1.217479810176479438e+00 -1.530293660428627689e-02 -3.793483910645540913e-01
-1.197405383698916026e+00 -1.214214492903346487e+00 -1.680910920443046130e-02 -3.026055926288229170e-01
-1.192633893825638891e+00 -1.210875165364516226e+00 -1.824127153887733499e-02 -2.131721697909048641e-01
-1.187862403952361534e+00 -1.207457414508187776e+00 -1.959501055582624218e-02 -1.133049496777373544e-01
-1.183090914079084399e+00 -1.203956810928574317e+00 -2.086589684948991774e-02 -6.193485512176577501e-03
-1.178319424205807264e+00 -1.200369220041905383e+00 -2.204979583609811833e-02 1.039530052008971195e-01
-1.173547934332529907e+00 -1.196690803997303210e+00 -2.314286966477330232e-02 2.118606911591242037e-01
-1.168776444459252772e+00 -1.192917724796251244e+00 -2.414128033699847187e-02 3.112442996063459200e-01
-1.164004954585975637e+00 -1.189046573681503238e+00 -2.504161909552760079e-02 3.950477485206056460e-01
