# X Y
0.000000000000000000e+00 0.000000000000000000e+00
2.004008016032063962e-03 1.261670767126190588e-04
4.008016032064127925e-03 5.046587357678912261e-04
6.012024048096191453e-03 1.135446143425886210e-03
8.016032064128255849e-03 2.018480841855912252e-03
1.002004008016032024e-02 3.153694146891668822e-03
1.202404809619238291e-02 4.540996305192934561e-03
1.402805611222444730e-02 6.180275411122322649e-03
1.603206412825651170e-02 8.071396083739565408e-03
1.803607214428857436e-02 1.021419790441407266e-02
2.004008016032064049e-02 1.260849361566014799e-02
2.204408817635270315e-02 1.525406708190883698e-02
2.404809619238476581e-02 1.815067101304778871e-02
2.605210420841683194e-02 2.129802445168516370e-02
2.805611222444889460e-02 2.469581002522811333e-02
3.006012024048096073e-02 2.834367096401058453e-02
3.206412825651302340e-02 3.224120788685984340e-02
3.406813627254508953e-02 3.638797535565847785e-02
3.607214428857714872e-02 4.078347820063774054e-02
3.807615230460921485e-02 4.542716761833140438e-02
4.008016032064128098e-02 5.031843704432647363e-02
4.208416833667334017e-02 5.545661780317030776e-02
4.408817635270540630e-02 6.084097453803179872e-02
4.609218436873747243e-02 6.647070042297020809e-02
4.809619238476953162e-02 7.234491216093863475e-02
5.010020040080159776e-02 7.846264477094010148e-02
5.210420841683366389e-02 8.482284616806533284e-02
5.410821643286573002e-02 9.142437154047163006e-02
5.611222444889778921e-02 9.826597752771272509e-02
5.811623246492985534e-02 1.053463162052016150e-01
6.012024048096192147e-02 1.126639288799813760e-01
6.212424849699398066e-02 1.202172397033949847e-01
6.412825651302604679e-02 1.280045491066826302e-01
6.613226452905811292e-02 1.360240270659959227e-01
6.813627254509017905e-02 1.442737062038042251e-01
7.014028056112224518e-02 1.527514747341736645e-01
7.214428857715429744e-02 1.614550692599348303e-01
7.414829659318636357e-02 1.703820674303085647e-01
7.615230460921842970e-02 1.795298804681403348e-01
7.815631262525049583e-02 1.888957455764993520e-01
8.016032064128256196e-02 1.984767182350268278e-01
8.216432865731462809e-02 2.082696643970685380e-01
8.416833667334668034e-02 2.182712525993079911e-01
8.617234468937874647e-02 2.284779459963127146e-01
8.817635270541081260e-02 2.388859943331309021e-01
9.018036072144287874e-02 2.494914258698226195e-01
9.218436873747494487e-02 2.602900392725754353e-01
9.418837675350701100e-02 2.712773954868458737e-01
9.619238476953906325e-02 2.824488096087733879e-01
9.819639278557112938e-02 2.937993427719475248e-01
1.002004008016031955e-01 3.053237940674488615e-01
1.022044088176352616e-01 3.170166925159530469e-01
1.042084168336673278e-01 3.288722891115627434e-01
1.062124248496993939e-01 3.408845489579251375e-01
1.082164328657314600e-01 3.530471435180977391e-01
1.102204408817635123e-01 3.653534430005365152e-01
1.122244488977955784e-01 3.777965089045076663e-01
1.142284569138276445e-01 3.903690867491454997e-01
1.162324649298597107e-01 4.030635990113152212e-01
1.182364729458917768e-01 4.158721382983683323e-01
1.202404809619238429e-01 4.287864607828072994e-01
1.222444889779558952e-01 4.417979799267991448e-01
1.242484969939879613e-01 4.548977605253979872e-01
1.262525050100200275e-01 4.680765130982297295e-01
1.282565130260520936e-01 4.813245886602912083e-01
1.302605210420841597e-01 4.946319739033747109e-01
1.322645290581162258e-01 5.079882868204790292e-01
1.342685370741482920e-01 5.213827728063819000e-01
1.362725450901803581e-01 5.348043012683352249e-01
1.382765531062124242e-01 5.482413627815898582e-01
1.402805611222444904e-01 5.616820668251645277e-01
1.422845691382765287e-01 5.751141401339298076e-01
1.442885771543085949e-01 5.885249257036879733e-01
1.462925851703406610e-01 6.019013824864717366e-01
1.482965931863727271e-01 6.152300858137795814e-01
1.503006012024047933e-01 6.284972285858719809e-01
1.523046092184368594e-01 6.416886232655981681e-01
1.543086172344689255e-01 6.547897047154804806e-01
1.563126252505009917e-01 6.677855339169540549e-01
1.583166332665330578e-01 6.806608026107350273e-01
1.603206412825651239e-01 6.933998388972655302e-01
1.623246492985971901e-01 7.059866138360473276e-01
1.643286573146292562e-01 7.184047490824342352e-01
1.663326653306613223e-01 7.306375256000698926e-01
1.683366733466933607e-01 7.426678934866712822e-01
1.703406813627254268e-01 7.544784829502113599e-01
1.723446893787574929e-01 7.660516164717754428e-01
1.743486973947895591e-01 7.773693221904400819e-01
1.763527054108216252e-01 7.884133485444273504e-01
1.783567134268536913e-01 7.991651802015364847e-01
1.803607214428857575e-01 8.096060553104297286e-01
1.823647294589178236e-01 8.197169841027399650e-01
1.843687374749498897e-01 8.294787688741817044e-01
1.863727454909819559e-01 8.388720253708600305e-01
1.883767535070140220e-01 8.478772056047950700e-01
1.903807615230460881e-01 8.564746221202866883e-01
1.923847695390781265e-01 8.646444737301577366e-01
1.943887775551101926e-01 8.723668727380918808e-01
1.963927855711422588e-01 8.796218736602574584e-01
1.983967935871743249e-01 8.863895034561497521e-01
2.004008016032063910e-01 8.926497932750938613e-01
2.024048096192384572e-01 8.983828117211386521e-01
2.044088176352705233e-01 9.035686996351133260e-01
2.064128256513025894e-01 9.081877063884283841e-01
2.084168336673346555e-01 9.122202276787749753e-01
2.104208416833667217e-01 9.156468448132067950e-01
2.124248496993987878e-01 9.184483654591800716e-01
2.144288577154308539e-01 9.206058658389837390e-01
2.164328657314629201e-01 9.221007343376093068e-01
2.184368737474949584e-01 9.229147164884975441e-01
2.204408817635270246e-01 9.230299612957592048e-01
2.224448897795590907e-01 9.224290688453958831e-01
2.244488977955911568e-01 9.210951391517795406e-01
2.264529058116232230e-01 9.190118221791471198e-01
2.284569138276552891e-01 9.161633689711909945e-01
2.304609218436873552e-01 9.125346838149425155e-01
