# X true mean std 2std sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9 sample_10 sample_11 sample_12 sample_13 sample_14 sample_15 sample_16 sample_17 sample_18 sample_19 sample_20 sample_21 sample_22 sample_23 sample_24 sample_25 sample_26 sample_27 sample_28 sample_29
-1.994949494949494806e+00 -2.943890191191254502e+00 -1.063700079917907715e+00 1.117572546005249023e+00 2.235145092010498047e+00 5.555475950241088867e-01 -1.021953582763671875e+00 -1.354442596435546875e+00 -2.642446756362915039e+00 -2.970157861709594727e+00 -3.158997297286987305e-01 -2.621840000152587891e+00 -2.892366886138916016e+00 -3.978158235549926758e-01 -1.775082707405090332e+00 6.995873451232910156e-01 -6.616925001144409180e-01 -2.250967502593994141e+00 -2.122349739074707031e+00 1.292822837829589844e+00 -1.642405033111572266e+00 -1.101230621337890625e+00 -1.150302648544311523e+00 -6.227025985717773438e-01 -6.511993408203125000e-01 -2.020470857620239258e+00 -1.346057415008544922e+00 -2.979213297367095947e-01 -1.346057415008544922e+00 -1.346057415008544922e+00 -2.058508396148681641e+00 -1.042657732963562012e+00 -1.193557977676391602e+00 -3.481998443603515625e-01 3.356243371963500977e-01
-1.944444444444444420e+00 -2.413784658715641740e+00 -1.019199013710021973e+00 1.097654581069946289e+00 2.195309162139892578e+00 5.689643025398254395e-01 -9.880780577659606934e-01 -1.291624546051025391e+00 -2.578895330429077148e+00 -2.900825738906860352e+00 -2.726515531539916992e-01 -2.537844181060791016e+00 -2.818912029266357422e+00 -3.661403656005859375e-01 -1.712568402290344238e+00 6.878723502159118652e-01 -6.218302249908447266e-01 -2.210667848587036133e+00 -2.095430374145507812e+00 1.279919624328613281e+00 -1.562706708908081055e+00 -1.054404735565185547e+00 -1.103239774703979492e+00 -5.531811714172363281e-01 -6.631662845611572266e-01 -1.961898803710937500e+00 -1.280614137649536133e+00 -2.831972539424896240e-01 -1.280614137649536133e+00 -1.280614137649536133e+00 -2.024005651473999023e+00 -9.844032526016235352e-01 -1.163457512855529785e+00 -3.070956468582153320e-01 3.498152494430541992e-01
-1.893939393939394034e+00 -1.937861188600112694e+00 -9.746969938278198242e-01 1.077973484992980957e+00 2.155946969985961914e+00 5.823810696601867676e-01 -9.542024731636047363e-01 -1.228806257247924805e+00 -2.515343904495239258e+00 -2.831493854522705078e+00 -2.294032573699951172e-01 -2.453848123550415039e+00 -2.745457410812377930e+00 -3.344649076461791992e-01 -1.650054335594177246e+00 6.761573553085327148e-01 -5.819679498672485352e-01 -2.170368194580078125e+00 -2.068511009216308594e+00 1.267016410827636719e+00 -1.483008384704589844e+00 -1.007578849792480469e+00 -1.056176900863647461e+00 -4.836597442626953125e-01 -6.751332879066467285e-01 -1.903326511383056641e+00 -1.215170860290527344e+00 -2.684732377529144287e-01 -1.215170860290527344e+00 -1.215170860290527344e+00 -1.989502787590026855e+00 -9.261487722396850586e-01 -1.133357167243957520e+00 -2.659913301467895508e-01 3.640062212944030762e-01
-1.843434343434343425e+00 -1.513078049492895483e+00 -9.301964640617370605e-01 1.058544516563415527e+00 2.117089033126831055e+00 5.957977771759033203e-01 -9.203268885612487793e-01 -1.165988206863403320e+00 -2.451792478561401367e+00 -2.762161731719970703e+00 -1.861549615859985352e-01 -2.369852066040039062e+00 -2.672002792358398438e+00 -3.027894496917724609e-01 -1.587540030479431152e+00 6.644423007965087891e-01 -5.421056747436523438e-01 -2.130068302154541016e+00 -2.041591882705688477e+00 1.254113078117370605e+00 -1.403309822082519531e+00 -9.607530236244201660e-01 -1.009114027023315430e+00 -4.141380786895751953e-01 -6.871002912521362305e-01 -1.844754457473754883e+00 -1.149727582931518555e+00 -2.537491619586944580e-01 -1.149727582931518555e+00 -1.149727582931518555e+00 -1.955000042915344238e+00 -8.678942918777465820e-01 -1.103256821632385254e+00 -2.248871326446533203e-01 3.781971931457519531e-01
-1.792929292929292817e+00 -1.136465080191678911e+00 -8.856949806213378906e-01 1.039379835128784180e+00 2.078759670257568359e+00 6.092145442962646484e-01 -8.864513039588928223e-01 -1.103169918060302734e+00 -2.388241052627563477e+00 -2.692829608917236328e+00 -1.429066658020019531e-01 -2.285856246948242188e+00 -2.598548173904418945e+00 -2.711139917373657227e-01 -1.525025725364685059e+00 6.527273654937744141e-01 -5.022435188293457031e-01 -2.089768886566162109e+00 -2.014672517776489258e+00 1.241209864616394043e+00 -1.323611497879028320e+00 -9.139271378517150879e-01 -9.620510935783386230e-01 -3.446166515350341797e-01 -6.990672349929809570e-01 -1.786182403564453125e+00 -1.084284305572509766e+00 -2.390251457691192627e-01 -1.084284305572509766e+00 -1.084284305572509766e+00 -1.920497179031372070e+00 -8.096395730972290039e-01 -1.073156356811523438e+00 -1.837828159332275391e-01 3.923881649971008301e-01
-1.742424242424242431e+00 -8.051236896436037016e-01 -8.411945700645446777e-01 1.020495891571044922e+00 2.040991783142089844e+00 6.226313114166259766e-01 -8.525757193565368652e-01 -1.040351867675781250e+00 -2.324689626693725586e+00 -2.623497724533081055e+00 -9.965837001800537109e-02 -2.201860189437866211e+00 -2.525093317031860352e+00 -2.394385337829589844e-01 -1.462511420249938965e+00 6.410123109817504883e-01 -4.623812437057495117e-01 -2.049468994140625000e+00 -1.987753272056579590e+00 1.228306651115417480e+00 -1.243913173675537109e+00 -8.671012520790100098e-01 -9.149882197380065918e-01 -2.750952243804931641e-01 -7.110341787338256836e-01 -1.727610349655151367e+00 -1.018841028213500977e+00 -2.243010699748992920e-01 -1.018841028213500977e+00 -1.018841028213500977e+00 -1.885994315147399902e+00 -7.513850927352905273e-01 -1.043056011199951172e+00 -1.426786184310913086e-01 4.065791070461273193e-01
-1.691919191919192045e+00 -5.162268569452614919e-01 -7.966927886009216309e-01 1.001908183097839355e+00 2.003816366195678711e+00 6.360480189323425293e-01 -8.187001347541809082e-01 -9.775338172912597656e-01 -2.261137962341308594e+00 -2.554165601730346680e+00 -5.641007423400878906e-02 -2.117864131927490234e+00 -2.451638698577880859e+00 -2.077630758285522461e-01 -1.399997115135192871e+00 6.292973160743713379e-01 -4.225189685821533203e-01 -2.009169578552246094e+00 -1.960834026336669922e+00 1.215403318405151367e+00 -1.164214849472045898e+00 -8.202753663063049316e-01 -8.679253458976745605e-01 -2.055737972259521484e-01 -7.230011224746704102e-01 -1.669038176536560059e+00 -9.533977508544921875e-01 -2.095770239830017090e-01 -9.533977508544921875e-01 -9.533977508544921875e-01 -1.851491570472717285e+00 -6.931306123733520508e-01 -1.012955665588378906e+00 -1.015744209289550781e-01 4.207700788974761963e-01
-1.641414141414141437e+00 -2.670191313426939494e-01 -7.521915435791015625e-01 9.836332798004150391e-01 1.967266559600830078e+00 6.494647264480590820e-01 -7.848245501518249512e-01 -9.147155284881591797e-01 -2.197586536407470703e+00 -2.484833717346191406e+00 -1.316189765930175781e-02 -2.033868074417114258e+00 -2.378184080123901367e+00 -1.760876178741455078e-01 -1.337482810020446777e+00 6.175823211669921875e-01 -3.826566934585571289e-01 -1.968869805335998535e+00 -1.933914661407470703e+00 1.202500104904174805e+00 -1.084516525268554688e+00 -7.734494805335998535e-01 -8.208624720573425293e-01 -1.360521316528320312e-01 -7.349681258201599121e-01 -1.610466003417968750e+00 -8.879544734954833984e-01 -1.948529779911041260e-01 -8.879544734954833984e-01 -8.879544734954833984e-01 -1.816988706588745117e+00 -6.348761320114135742e-01 -9.828552603721618652e-01 -6.047010421752929688e-02 4.349610209465026855e-01
-1.590909090909090828e+00 -5.481663223140431640e-02 -7.076895236968994141e-01 9.656887650489807129e-01 1.931377530097961426e+00 6.628814935684204102e-01 -7.509489655494689941e-01 -8.518974781036376953e-01 -2.134035110473632812e+00 -2.415501594543457031e+00 3.008639812469482422e-02 -1.949872255325317383e+00 -2.304729461669921875e+00 -1.444121599197387695e-01 -1.274968504905700684e+00 6.058672666549682617e-01 -3.427944183349609375e-01 -1.928570151329040527e+00 -1.906995296478271484e+00 1.189596891403198242e+00 -1.004818201065063477e+00 -7.266235947608947754e-01 -7.737995982170104980e-01 -6.653070449829101562e-02 -7.469351291656494141e-01 -1.551893949508666992e+00 -8.225111961364746094e-01 -1.801289021968841553e-01 -8.225111961364746094e-01 -8.225111961364746094e-01 -1.782485842704772949e+00 -5.766216516494750977e-01 -9.527548551559448242e-01 -1.936590671539306641e-02 4.491519927978515625e-01
-1.540404040404040442e+00 1.229929508436562458e-01 -6.631879210472106934e-01 9.480937719345092773e-01 1.896187543869018555e+00 6.762982606887817383e-01 -7.170733809471130371e-01 -7.890793085098266602e-01 -2.070483684539794922e+00 -2.346169471740722656e+00 7.333469390869140625e-02 -1.865876197814941406e+00 -2.231274843215942383e+00 -1.127367019653320312e-01 -1.212454199790954590e+00 5.941523313522338867e-01 -3.029321432113647461e-01 -1.888270497322082520e+00 -1.880076050758361816e+00 1.176693677902221680e+00 -9.251196384429931641e-01 -6.797977089881896973e-01 -7.267367243766784668e-01 2.990722656250000000e-03 -7.589020729064941406e-01 -1.493321776390075684e+00 -7.570677995681762695e-01 -1.654048562049865723e-01 -7.570677995681762695e-01 -7.570677995681762695e-01 -1.747983098030090332e+00 -5.183670520782470703e-01 -9.226544499397277832e-01 2.173840999603271484e-02 4.633429348468780518e-01
-1.489898989898989834e+00 2.689503581880818839e-01 -6.186880469322204590e-01 9.308674335479736328e-01 1.861734867095947266e+00 6.897150278091430664e-01 -6.831977367401123047e-01 -7.262611389160156250e-01 -2.006932258605957031e+00 -2.276837587356567383e+00 1.165829896926879883e-01 -1.781880140304565430e+00 -2.157819986343383789e+00 -8.106124401092529297e-02 -1.149939894676208496e+00 5.824372768402099609e-01 -2.630699872970581055e-01 -1.847970724105834961e+00 -1.853156805038452148e+00 1.163790464401245117e+00 -8.454213142395019531e-01 -6.329718232154846191e-01 -6.796738505363464355e-01 7.251238822937011719e-02 -7.708690166473388672e-01 -1.434749722480773926e+00 -6.916245222091674805e-01 -1.506808102130889893e-01 -6.916245222091674805e-01 -6.916245222091674805e-01 -1.713480234146118164e+00 -4.601125717163085938e-01 -8.925540447235107422e-01 6.284260749816894531e-02 4.775339066982269287e-01
