# X true mean std 2std sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9 sample_10 sample_11 sample_12 sample_13 sample_14 sample_15 sample_16 sample_17 sample_18 sample_19 sample_20 sample_21 sample_22 sample_23 sample_24 sample_25 sample_26 sample_27 sample_28 sample_29
-1.994949494949494806e+00 -2.943890191191254502e+00 -1.220599174499511719e+00 1.226063013076782227e+00 2.452126026153564453e+00 -1.638955235481262207e+00 -1.365103721618652344e+00 -1.737550973892211914e+00 -1.253605604171752930e+00 -1.085124492645263672e+00 -6.383081674575805664e-01 -2.764658451080322266e+00 -1.558490395545959473e+00 7.199699878692626953e-01 -1.965608596801757812e+00 -5.367137432098388672e+00 -5.367137432098388672e+00 -1.041290998458862305e+00 -1.384231328964233398e+00 5.987868309020996094e-01 5.987868309020996094e-01 -5.367137432098388672e+00 -7.021158933639526367e-01 -6.383081674575805664e-01 4.273983240127563477e-01 -7.129591703414916992e-01 -2.339026927947998047e+00 -1.389359474182128906e+00 -6.341496109962463379e-01 -1.638955235481262207e+00 -7.129591703414916992e-01 -9.553973674774169922e-01 -3.938324689865112305e+00 -1.638955235481262207e+00 -3.079405069351196289e+00
-1.944444444444444420e+00 -2.413784658715641740e+00 -1.152896523475646973e+00 1.204025030136108398e+00 2.408050060272216797e+00 -1.571502566337585449e+00 -1.299831151962280273e+00 -1.688935995101928711e+00 -1.155749082565307617e+00 -1.013705015182495117e+00 -5.760899782180786133e-01 -2.686563014984130859e+00 -1.488320231437683105e+00 7.512238025665283203e-01 -1.892855882644653320e+00 -5.207360267639160156e+00 -5.207360267639160156e+00 -9.808654785156250000e-01 -1.317311286926269531e+00 6.384003162384033203e-01 6.384003162384033203e-01 -5.207360267639160156e+00 -6.679307222366333008e-01 -5.760899782180786133e-01 4.713277816772460938e-01 -6.629749536514282227e-01 -2.236230850219726562e+00 -1.307242393493652344e+00 -5.958948731422424316e-01 -1.571502566337585449e+00 -6.629749536514282227e-01 -8.879582881927490234e-01 -3.826639890670776367e+00 -1.571502566337585449e+00 -2.973120927810668945e+00
-1.893939393939394034e+00 -1.937861188600112694e+00 -1.085193395614624023e+00 1.182132840156555176e+00 2.364265680313110352e+00 -1.504049658775329590e+00 -1.234558343887329102e+00 -1.640321016311645508e+00 -1.057892560958862305e+00 -9.422852993011474609e-01 -5.138717889785766602e-01 -2.608467578887939453e+00 -1.418150067329406738e+00 7.824777364730834961e-01 -1.820102930068969727e+00 -5.047583103179931641e+00 -5.047583103179931641e+00 -9.204397201538085938e-01 -1.250391006469726562e+00 6.780136823654174805e-01 6.780136823654174805e-01 -5.047583103179931641e+00 -6.337454319000244141e-01 -5.138717889785766602e-01 5.152571201324462891e-01 -6.129907369613647461e-01 -2.133435010910034180e+00 -1.225125074386596680e+00 -5.576401352882385254e-01 -1.504049658775329590e+00 -6.129907369613647461e-01 -8.205194473266601562e-01 -3.714954614639282227e+00 -1.504049658775329590e+00 -2.866837024688720703e+00
-1.843434343434343425e+00 -1.513078049492895483e+00 -1.017490267753601074e+00 1.160393595695495605e+00 2.320787191390991211e+00 -1.436596989631652832e+00 -1.169285535812377930e+00 -1.591706037521362305e+00 -9.600360393524169922e-01 -8.708655834197998047e-01 -4.516535997390747070e-01 -2.530372142791748047e+00 -1.347979664802551270e+00 8.137315511703491211e-01 -1.747350215911865234e+00 -4.887805938720703125e+00 -4.887805938720703125e+00 -8.600139617919921875e-01 -1.183470726013183594e+00 7.176271677017211914e-01 7.176271677017211914e-01 -4.887805938720703125e+00 -5.995601415634155273e-01 -4.516535997390747070e-01 5.591865777969360352e-01 -5.630065202713012695e-01 -2.030638933181762695e+00 -1.143007993698120117e+00 -5.193853974342346191e-01 -1.436596989631652832e+00 -5.630065202713012695e-01 -7.530806064605712891e-01 -3.603269815444946289e+00 -1.436596989631652832e+00 -2.760552883148193359e+00
-1.792929292929292817e+00 -1.136465080191678911e+00 -9.497882723808288574e-01 1.138816952705383301e+00 2.277633905410766602e+00 -1.369144082069396973e+00 -1.104012727737426758e+00 -1.543090939521789551e+00 -8.621795177459716797e-01 -7.994458675384521484e-01 -3.894356489181518555e-01 -2.452276706695556641e+00 -1.277809500694274902e+00 8.449853658676147461e-01 -1.674597501754760742e+00 -4.728029251098632812e+00 -4.728029251098632812e+00 -7.995882034301757812e-01 -1.116550683975219727e+00 7.572405338287353516e-01 7.572405338287353516e-01 -4.728029251098632812e+00 -5.653749704360961914e-01 -3.894356489181518555e-01 6.031160354614257812e-01 -5.130223035812377930e-01 -1.927842855453491211e+00 -1.060890913009643555e+00 -4.811306595802307129e-01 -1.369144082069396973e+00 -5.130223035812377930e-01 -6.856415271759033203e-01 -3.491584777832031250e+00 -1.369144082069396973e+00 -2.654268741607666016e+00
-1.742424242424242431e+00 -8.051236896436037016e-01 -8.820844888687133789e-01 1.117412209510803223e+00 2.234824419021606445e+00 -1.301691412925720215e+00 -1.038739919662475586e+00 -1.494475960731506348e+00 -7.643229961395263672e-01 -7.280263900756835938e-01 -3.272174596786499023e-01 -2.374181032180786133e+00 -1.207639336585998535e+00 8.762392997741699219e-01 -1.601844549179077148e+00 -4.568252086639404297e+00 -4.568252086639404297e+00 -7.391624450683593750e-01 -1.049630403518676758e+00 7.968540191650390625e-01 7.968540191650390625e-01 -4.568252086639404297e+00 -5.311896800994873047e-01 -3.272174596786499023e-01 6.470453739166259766e-01 -4.630380868911743164e-01 -1.825046777725219727e+00 -9.787735939025878906e-01 -4.428759217262268066e-01 -1.301691412925720215e+00 -4.630380868911743164e-01 -6.182026863098144531e-01 -3.379899978637695312e+00 -1.301691412925720215e+00 -2.547984600067138672e+00
-1.691919191919192045e+00 -5.162268569452614919e-01 -8.143816590309143066e-01 1.096190214157104492e+00 2.192380428314208984e+00 -1.234238743782043457e+00 -9.734671115875244141e-01 -1.445860981941223145e+00 -6.664664745330810547e-01 -6.566066741943359375e-01 -2.649992704391479492e-01 -2.296085596084594727e+00 -1.137468934059143066e+00 9.074931144714355469e-01 -1.529091835021972656e+00 -4.408474922180175781e+00 -4.408474922180175781e+00 -6.787366867065429688e-01 -9.827101230621337891e-01 8.364673852920532227e-01 8.364673852920532227e-01 -4.408474922180175781e+00 -4.970043897628784180e-01 -2.649992704391479492e-01 6.909748315811157227e-01 -4.130538702011108398e-01 -1.722250938415527344e+00 -8.966565132141113281e-01 -4.046211838722229004e-01 -1.234238743782043457e+00 -4.130538702011108398e-01 -5.507636070251464844e-01 -3.268214941024780273e+00 -1.234238743782043457e+00 -2.441700458526611328e+00
-1.641414141414141437e+00 -2.670191313426939494e-01 -7.466781735420227051e-01 1.075159430503845215e+00 2.150318861007690430e+00 -1.166785836219787598e+00 -9.081943035125732422e-01 -1.397245883941650391e+00 -5.686099529266357422e-01 -5.851869583129882812e-01 -2.027810811996459961e-01 -2.217990159988403320e+00 -1.067298769950866699e+00 9.387470483779907227e-01 -1.456338882446289062e+00 -4.248697757720947266e+00 -4.248697757720947266e+00 -6.183109283447265625e-01 -9.157898426055908203e-01 8.760808706283569336e-01 8.760808706283569336e-01 -4.248697757720947266e+00 -4.628192186355590820e-01 -2.027810811996459961e-01 7.349042892456054688e-01 -3.630696535110473633e-01 -1.619454860687255859e+00 -8.145391941070556641e-01 -3.663663268089294434e-01 -1.166785836219787598e+00 -3.630696535110473633e-01 -4.833247661590576172e-01 -3.156530141830444336e+00 -1.166785836219787598e+00 -2.335416078567504883e+00
-1.590909090909090828e+00 -5.481663223140431640e-02 -6.789765357971191406e-01 1.054333090782165527e+00 2.108666181564331055e+00 -1.099333167076110840e+00 -8.429214954376220703e-01 -1.348630905151367188e+00 -4.707534313201904297e-01 -5.137674808502197266e-01 -1.405630111694335938e-01 -2.139894723892211914e+00 -9.971286058425903320e-01 9.700008630752563477e-01 -1.383586168289184570e+00 -4.088920593261718750e+00 -4.088920593261718750e+00 -5.578852891921997070e-01 -8.488698005676269531e-01 9.156942367553710938e-01 9.156942367553710938e-01 -4.088920593261718750e+00 -4.286339282989501953e-01 -1.405630111694335938e-01 7.788337469100952148e-01 -3.130854368209838867e-01 -1.516658782958984375e+00 -7.324221134185791016e-01 -3.281115889549255371e-01 -1.099333167076110840e+00 -3.130854368209838867e-01 -4.158859252929687500e-01 -3.044845104217529297e+00 -1.099333167076110840e+00 -2.229131937026977539e+00
-1.540404040404040442e+00 1.229929508436562458e-01 -6.112728714942932129e-01 1.033723831176757812e+00 2.067447662353515625e+00 -1.031880259513854980e+00 -7.776488065719604492e-01 -1.300015926361083984e+00 -3.728971481323242188e-01 -4.423477649688720703e-01 -7.834482192993164062e-02 -2.061799287796020508e+00 -9.269584417343139648e-01 1.001254796981811523e+00 -1.310833454132080078e+00 -3.929143190383911133e+00 -3.929143190383911133e+00 -4.974595308303833008e-01 -7.819495201110839844e-01 9.553077220916748047e-01 9.553077220916748047e-01 -3.929143190383911133e+00 -3.944487571716308594e-01 -7.834482192993164062e-02 8.227630853652954102e-01 -2.631012201309204102e-01 -1.413862943649291992e+00 -6.503047943115234375e-01 -2.898568511009216309e-01 -1.031880259513854980e+00 -2.631012201309204102e-01 -3.484468460083007812e-01 -2.933160066604614258e+00 -1.031880259513854980e+00 -2.122847795486450195e+00
