# X mu var std 2std fstd 2fstd
3.244147157190635511e-01 7.795217474342646113e-01 5.399411998958620696e-04 1.526438334936519592e-01 3.052876669873039184e-01 2.323663486600118996e-02 4.647326973200237993e-02
3.277591973244147194e-01 8.000946765232358482e-01 5.298683296332666083e-04 1.524260676188342045e-01 3.048521352376684090e-01 2.301886899118344224e-02 4.603773798236688447e-02
3.311036789297658878e-01 8.194090245954033236e-01 5.301439266652255202e-04 1.524320531693243164e-01 3.048641063386486327e-01 2.302485454167355755e-02 4.604970908334711510e-02
3.344481605351170561e-01 8.374815239221681251e-01 5.408648677348789095e-04 1.526637002505277230e-01 3.053274005010554459e-01 2.325650162287696415e-02 4.651300324575392831e-02
3.377926421404682245e-01 8.543305391462607812e-01 5.617383946134752457e-04 1.531082195890666464e-01 3.062164391781332928e-01 2.370102096141588760e-02 4.740204192283177520e-02
3.411371237458193928e-01 8.699757561084016100e-01 5.920905237741747257e-04 1.537401089298356394e-01 3.074802178596712787e-01 2.433291030218487361e-02 4.866582060436974722e-02
3.444816053511705611e-01 8.844378831115666806e-01 6.308886905421160233e-04 1.545246963243186444e-01 3.090493926486372889e-01 2.511749769666787521e-02 5.023499539333575042e-02
3.478260869565217295e-01 8.977383665613962727e-01 6.767778621076845453e-04 1.554221532135746930e-01 3.108443064271493861e-01 2.601495458592393076e-02 5.202990917184786152e-02
3.511705685618728978e-01 9.098991227268113935e-01 7.281288532122666586e-04 1.563910614573544855e-01 3.127821229147089710e-01 2.698386282970373015e-02 5.396772565940746030e-02
3.545150501672240662e-01 9.209422871615344786e-01 7.830971225048443361e-04 1.573910711706860699e-01 3.147821423413721398e-01 2.798387254303529026e-02 5.596774508607058052e-02
3.578595317725752345e-01 9.308899831178385487e-01 8.396899334572751434e-04 1.583846024702532940e-01 3.167692049405065879e-01 2.897740384260251781e-02 5.795480768520503562e-02
3.612040133779264028e-01 9.397641100697075034e-01 8.958394458497036727e-04 1.593377757328404143e-01 3.186755514656808286e-01 2.993057710518966241e-02 5.986115421037932482e-02
3.645484949832775712e-01 9.475861532457097169e-01 9.494790741255386413e-04 1.602208169501642410e-01 3.204416339003284819e-01 3.081361832251348215e-02 6.162723664502696430e-02
3.678929765886287395e-01 9.543770148551240506e-01 9.986203159661794122e-04 1.610081529797930400e-01 3.220163059595860799e-01 3.160095435214226728e-02 6.320190870428453456e-02
3.712374581939799079e-01 9.601568674747069654e-01 1.041427223550202589e-03 1.616783501960439018e-01 3.233567003920878036e-01 3.227115156839313603e-02 6.454230313678627207e-02
3.745819397993310762e-01 9.649450298509741897e-01 1.076285762439155823e-03 1.622139930830552024e-01 3.244279861661104047e-01 3.280679445540444356e-02 6.561358891080888711e-02
3.779264214046822445e-01 9.687598651652518100e-01 1.101865476660133722e-03 1.626015577366941856e-01 3.252031154733883711e-01 3.319435910904341980e-02 6.638871821808683960e-02
3.812709030100334129e-01 9.716187016076449634e-01 1.117171147410668227e-03 1.628313088986911572e-01 3.256626177973823144e-01 3.342411027104039839e-02 6.684822054208079678e-02
3.846153846153845812e-01 9.735377749130963432e-01 1.121582487108052119e-03 1.628972342667487361e-01 3.257944685334974722e-01 3.349003563909797032e-02 6.698007127819594064e-02
3.879598662207358051e-01 9.745321923295268141e-01 1.114880338150024209e-03 1.627970224988547487e-01 3.255940449977094975e-01 3.338982387120399686e-02 6.677964774240799373e-02
3.913043478260869734e-01 9.746159173155226618e-01 1.097258330758381232e-03 1.625320885257074965e-01 3.250641770514149931e-01 3.312488989805673772e-02 6.624977979611347545e-02
3.946488294314381418e-01 9.738017741046918196e-01 1.069319479814281404e-03 1.621076493862302348e-01 3.242152987724604696e-01 3.270045075857948291e-02 6.540090151715896583e-02
3.979933110367893101e-01 9.721014711265595354e-01 1.032057747245428364e-03 1.615328542201118767e-01 3.230657084402237533e-01 3.212565559246111785e-02 6.425131118492223570e-02
4.013377926421404784e-01 9.695256421404648828e-01 9.868251447380865186e-04 1.608209717970439379e-01 3.216419435940878757e-01 3.141377316939317210e-02 6.282754633878634420e-02
4.046822742474916468e-01 9.660839038202919671e-01 9.352854812274852703e-04 1.599896360914548066e-01 3.199792721829096132e-01 3.058243746380404776e-02 6.116487492760809552e-02
4.080267558528428151e-01 9.617849284243927821e-01 8.793563516590063595e-04 1.590611419009998750e-01 3.181222838019997501e-01 2.965394327334909888e-02 5.930788654669819776e-02
4.113712374581939835e-01 9.566365300971620966e-01 8.211413997809052703e-04 1.580627635283974597e-01 3.161255270567949194e-01 2.865556490074668353e-02 5.731112980149336705e-02
4.147157190635451518e-01 9.506457632770254351e-01 7.628552521419137934e-04 1.570270330250890245e-01 3.140540660501780490e-01 2.761983439743826221e-02 5.523966879487652443e-02
4.180602006688963201e-01 9.438190316293280091e-01 7.067437998227145890e-04 1.559918520920597906e-01 3.119837041841195813e-01 2.658465346440902141e-02 5.316930692881804282e-02
4.214046822742474885e-01 9.361622058829838222e-01 6.550026879715306703e-04 1.550002189256056429e-01 3.100004378512112857e-01 2.559302029795488403e-02 5.118604059590976807e-02
4.247491638795986568e-01 9.276807489253158234e-01 6.096969541179061676e-04 1.540992409514016781e-01 3.081984819028033562e-01 2.469204232375090888e-02 4.938408464750181776e-02
4.280936454849498252e-01 9.183798465008526923e-01 5.726847312488745571e-04 1.533380308582455442e-01 3.066760617164910885e-01 2.393083223059479236e-02 4.786166446118958473e-02
4.314381270903009935e-01 9.082645418660725278e-01 5.455478010406566167e-04 1.527641633499912110e-01 3.055283266999824221e-01 2.335696472234045570e-02 4.671392944468091141e-02
4.347826086956521618e-01 8.973398727728659763e-01 5.295315509991636903e-04 1.524187511828166974e-01 3.048375023656333949e-01 2.301155255516593168e-02 4.602310511033186335e-02
4.381270903010033302e-01 8.856110091878659496e-01 5.254965644005640162e-04 1.523309104649724910e-01 3.046618209299449820e-01 2.292371183732172177e-02 4.584742367464344354e-02
4.414715719063544985e-01 8.730833902023101833e-01 5.338836652551374063e-04 1.525131213587415380e-01 3.050262427174830759e-01 2.310592273109077568e-02 4.621184546218155137e-02
4.448160535117056669e-01 8.597628586466262712e-01 5.546937663849517940e-04 1.529591362631183005e-01 3.059182725262366009e-01 2.355193763546752778e-02 4.710387527093505555e-02
4.481605351170568352e-01 8.456557919948675117e-01 5.874833439113745026e-04 1.536452543234233525e-01 3.072905086468467051e-01 2.423805569577259719e-02 4.847611139154519438e-02
4.515050167224080035e-01 8.307692282248064775e-01 6.313758047175113686e-04 1.545343911631791023e-01 3.090687823263582046e-01 2.512719253552834348e-02 5.025438507105668695e-02
4.548494983277591719e-01 8.151109853898512725e-01 6.850884445740222737e-04 1.555813928764528120e-01 3.111627857529056240e-01 2.617419424880204973e-02 5.234838849760409946e-02
4.581939799331103402e-01 7.986897737567638655e-01 7.469741341287468132e-04 1.567380261696178501e-01 3.134760523392357001e-01 2.733082754196708777e-02 5.466165508393417555e-02
4.615384615384615086e-01 7.815152994682552645e-01 8.150763378686782124e-04 1.579567404430403388e-01 3.159134808860806776e-01 2.854954181538957997e-02 5.709908363077915994e-02
4.648829431438126769e-01 7.635983588000684330e-01 8.871955867036196257e-04 1.591930272497257270e-01 3.183860544994514541e-01 2.978582862207495435e-02 5.957165724414990871e-02
4.682274247491638453e-01 7.449509221973310558e-01 9.609651055485469388e-04 1.604066358088085398e-01 3.208132716176170796e-01 3.099943718115777402e-02 6.199887436231554805e-02
4.715719063545150691e-01 7.255862073935122059e-01 1.033932958359209692e-03 1.615620265444537018e-01 3.231240530889074036e-01 3.215482791680294300e-02 6.430965583360588600e-02
4.749163879598662374e-01 7.055187410361157818e-01 1.103647826959043695e-03 1.626283940751214185e-01 3.252567881502428371e-01 3.322119544747063891e-02 6.644239089494127781e-02
