# Z qmu qsqrt 2qsqrt
2.809778717378314528e-01 3.611891515603974923e-01 1.699372410104568049e-02 3.398744820209136097e-02
3.164054446453857250e-01 6.852561467980408105e-01 1.065822014965155540e-03 2.131644029930311081e-03
9.191690920304984580e-01 -4.966476271622115579e-01 1.107975083468647768e-03 2.215950166937295535e-03
6.400452377722452846e-02 -5.467345006074457447e-02 1.751417644964618943e-03 3.502835289929237886e-03
9.190816872066664978e-01 -4.972276629279624438e-01 1.049955769027846597e-03 2.099911538055693194e-03
3.186559231242038215e-01 7.022364832509532251e-01 1.225200706281303481e-03 2.450401412562606962e-03
9.190875907722807492e-01 -4.971765750174481080e-01 1.059047061318596061e-03 2.118094122637192121e-03
3.168118143165156164e-01 6.880873565045081408e-01 9.813528733057729717e-04 1.962705746611545943e-03
9.185976327924947338e-01 -5.004983478701334754e-01 1.233994467039435314e-03 2.467988934078870628e-03
2.515508633582455578e-01 2.452570681220948151e-02 1.778285791807520874e-02 3.556571583615041748e-02
2.530234282911956178e-01 4.206331180481333309e-02 1.442232050791657227e-03 2.884464101583314455e-03
2.549655842094059599e-01 6.517659844394922686e-02 1.364961198320509359e-03 2.729922396641018718e-03
3.190125623218059148e-01 7.049123475852769882e-01 1.166453721871477545e-03 2.332907443742955091e-03
3.189000278744698047e-01 7.040692143538925807e-01 1.127648403426549954e-03 2.255296806853099908e-03
3.190872929618530085e-01 7.054348576396990422e-01 1.113468283874002700e-03 2.226936567748005399e-03
9.187341950293113069e-01 -4.995003168987410813e-01 1.076874472991756456e-03 2.153748945983512911e-03
2.476772544180111113e-01 -2.176096187795831596e-02 1.986366241033678953e-03 3.972732482067357906e-03
9.182779102406221083e-01 -5.025457331782143822e-01 1.229668594378103327e-03 2.459337188756206653e-03
2.503257617038666671e-01 9.957459012082926775e-03 1.115748682981104137e-03 2.231497365962208275e-03
9.179738738730280900e-01 -5.046366665309387489e-01 1.303639493697572507e-03 2.607278987395145013e-03
9.173445604169360168e-01 -5.088138430213962060e-01 1.405719855042837901e-03 2.811439710085675801e-03
2.560057784954989368e-01 7.756125918371899186e-02 1.262407890895279102e-03 2.524815781790558204e-03
6.575093749926522180e-02 -1.022292445329008037e-01 1.120582024660966586e-03 2.241164049321933173e-03
9.193121477213226367e-01 -4.956121917406012267e-01 1.046250726942669776e-03 2.092501453885339553e-03
2.542955018084819829e-01 5.720341227110375959e-02 1.150855174107074568e-03 2.301710348214149136e-03
9.165069817407254238e-01 -5.144180950905214988e-01 1.432242412018703897e-03 2.864484824037407795e-03
3.074651443178303412e-01 6.139325925494919511e-01 1.203940702111156022e-03 2.407881404222312043e-03
9.163067921490264389e-01 -5.157964950149026562e-01 1.274351101072031343e-03 2.548702202144062685e-03
3.481590210553157649e-01 8.940329216469607987e-01 1.007470511005483481e-02 2.014941022010966962e-02
2.355940958462932888e-01 -1.676812150198656037e-01 3.843765815763887286e-03 7.687531631527774571e-03
2.796613814181748703e-01 3.471133094111422124e-01 1.349890383701293686e-03 2.699780767402587371e-03
4.091773173634623562e-01 9.966614769627315518e-01 2.724643402570820980e-02 5.449286805141641959e-02
2.311759767273294797e-01 -2.212920724927888438e-01 1.751344901938271196e-03 3.502689803876542392e-03
9.170383673432506155e-01 -5.108759209656307254e-01 1.093969827478808755e-03 2.187939654957617511e-03
3.592888937600060423e-02 6.773205480105072285e-01 1.975027143524053785e-02 3.950054287048107571e-02
4.528858232091872993e-01 7.981460938253281956e-01 2.815428980796194983e-02 5.630857961592389965e-02
2.354350564712992255e-01 -1.696788513110522034e-01 1.188540125506513901e-03 2.377080251013027803e-03
3.642351565914696276e-02 6.673792975599626143e-01 1.424064597882395561e-03 2.848129195764791122e-03
9.132898099415621695e-01 -5.362275264559109855e-01 1.738277063183708577e-03 3.476554126367417154e-03
2.209481223811009531e-01 -3.471363370376946977e-01 3.051576346286319352e-03 6.103152692572638705e-03
3.173075864438588689e-01 6.920031578918727222e-01 1.022453045233464751e-03 2.044906090466929501e-03
4.566653282575855455e-01 7.782310624672009736e-01 3.332960403639420328e-03 6.665920807278840655e-03
1.227920054947288370e-01 -9.738008647003731921e-01 2.616747213132098251e-02 5.233494426264196503e-02
8.666334696365001200e-01 -7.906367673518718275e-01 2.610863197326136059e-02 5.221726394652272119e-02
8.735569026895413369e-01 -7.653501337762422807e-01 3.951628575685616797e-03 7.903257151371233594e-03
8.670128887046224531e-01 -7.893479135471349606e-01 1.346114304417250773e-03 2.692228608834501546e-03
2.090557741735056263e-01 -4.943813988237996115e-01 3.502410677827698555e-03 7.004821355655397111e-03
4.828312829842041909e-01 6.317329292878621771e-01 1.308022531170490929e-02 2.616045062340981858e-02
3.328057669355156678e-01 8.009444386643485014e-01 1.371948623924446400e-03 2.743897247848892801e-03
1.842697279612987293e-01 -7.814069262179131892e-01 7.866709005882807637e-03 1.573341801176561527e-02
1.200699323666149475e-02 8.478409828949005078e-01 2.778726560818767927e-02 5.557453121637535853e-02
7.714756711185214444e-01 -1.025607675879256941e+00 2.813465493272211682e-02 5.626930986544423363e-02
8.493473696334451484e-01 -8.371048946246234523e-01 6.270549696479331934e-03 1.254109939295866387e-02
8.216160364061074750e-01 -9.010156377680281770e-01 1.211901686918204733e-02 2.423803373836409467e-02
6.006699372370193357e-01 -2.874109305915506507e-01 2.872678904366097671e-02 5.745357808732195343e-02
5.882276958482403062e-01 -1.785962027890864723e-01 1.310771904392137727e-02 2.621543808784275453e-02
5.647721821898396000e-01 1.128588149430123297e-02 1.343759990392417655e-02 2.687519980784835311e-02
5.741963756395079832e-01 -6.322486136230830167e-02 1.673529025579230346e-03 3.347058051158460692e-03
8.071754185136807980e-01 -9.424241510854564075e-01 3.665212922794564877e-03 7.330425845589129755e-03
8.149513077376971948e-01 -9.194725840822918217e-01 1.259765747254822403e-03 2.519531494509644805e-03
8.954223889605873454e-01 -6.531820027861739986e-01 1.926863676422497021e-03 3.853727352844994042e-03
