# X mu var std 2std fstd 2fstd
4.682274247491638453e-02 4.219336229463401255e-01 9.337322271594161120e-04 1.396548176227924987e-01 2.793096352455849973e-01 3.055703236833406944e-02 6.111406473666813888e-02
5.016722408026755980e-02 3.319857244885283110e-01 9.144518866036852609e-04 1.393376907867792114e-01 2.786753815735584228e-01 3.023990553232078562e-02 6.047981106464157125e-02
5.351170568561872815e-02 2.392344890959679782e-01 9.003258608479834972e-04 1.391032157770819011e-01 2.782064315541638022e-01 3.000543052262345800e-02 6.001086104524691600e-02
5.685618729096989649e-02 1.451068918588470646e-01 8.913137971103371774e-04 1.389526642043107940e-01 2.779053284086215880e-01 2.985487894985235438e-02 5.970975789970470876e-02
6.020066889632107177e-02 5.093710941467766151e-02 8.865452744592929426e-04 1.388726954047727891e-01 2.777453908095455781e-01 2.977491015031435637e-02 5.954982030062871273e-02
6.354515050167224011e-02 -4.205953877984737466e-02 8.846871375503219306e-04 1.388414759728330006e-01 2.776829519456660011e-01 2.974369071837457482e-02 5.948738143674914963e-02
6.688963210702340845e-02 -1.328071428973670587e-01 8.843037171950285380e-04 1.388350298678221462e-01 2.776700597356442923e-01 2.973724461336370306e-02 5.947448922672740612e-02
7.023411371237457679e-02 -2.203838284232723377e-01 8.841456313069250570e-04 1.388323717036916705e-01 2.776647434073833409e-01 2.973458644923324123e-02 5.946917289846648247e-02
7.357859531772574513e-02 -3.040302820345981982e-01 8.833325521749923808e-04 1.388186962797784973e-01 2.776373925595569947e-01 2.972091102532007506e-02 5.944182205064015012e-02
7.692307692307692735e-02 -3.831522507839094649e-01 8.814227198966769709e-04 1.387865494573800040e-01 2.775730989147600081e-01 2.968876420292156440e-02 5.937752840584312880e-02
8.026755852842809569e-02 -4.573173217208873487e-01 8.783836973625684576e-04 1.387353239066907995e-01 2.774706478133815990e-01 2.963753865223238068e-02 5.927507730446476136e-02
8.361204013377926403e-02 -5.262465009489641909e-01 8.744929461644971626e-04 1.386696121537978887e-01 2.773392243075957775e-01 2.957182689933946645e-02 5.914365379867893291e-02
8.695652173913043237e-02 -5.898012921038913170e-01 8.702027784464954566e-04 1.385969848782871439e-01 2.771939697565742877e-01 2.949919962382870076e-02 5.899839924765740151e-02
9.030100334448160071e-02 -6.479671173083937363e-01 8.660029279771632588e-04 1.385257129418978328e-01 2.770514258837956656e-01 2.942792768743941398e-02 5.885585537487882796e-02
9.364548494983276905e-02 -7.008340237791838012e-01 8.623071586341656816e-04 1.384628522326583067e-01 2.769257044653166133e-01 2.936506697819989131e-02 5.873013395639978262e-02
